Timestamp,x,y,z,Key,Orientation
13888545195172,3.8897705,0.8580322,8.772766,KEYCODE_1,268
13888812071392,3.8897705,0.8580322,8.772766,KEYCODE_3,267
13889013487408,3.8897705,0.8580322,8.772766,KEYCODE_5,268
13889285399029,3.8897705,0.8580322,8.772766,KEYCODE_2,272
13889562346051,3.8897705,0.8580322,8.772766,KEYCODE_8,269
13889955107281,3.8897705,0.8580322,8.772766,KEYCODE_8,271
13890186735699,3.8897705,0.8580322,8.772766,KEYCODE_9,270
13890503965924,3.8897705,0.8580322,8.772766,KEYCODE_4,268
13890660063336,3.8897705,0.8580322,8.772766,KEYCODE_6,270
13890931974957,3.8897705,0.8580322,8.772766,KEYCODE_1,271
13890952116558,3.8897705,0.8580322,8.772766,KEYCODE_3,271
13891702391217,3.8897705,0.8580322,8.772766,KEYCODE_0,271
13892100187848,3.8897705,0.8580322,8.772766,KEYCODE_4,272
13892266356060,3.8897705,0.8580322,8.772766,KEYCODE_8,273
13892492936841,3.8897705,0.8580322,8.772766,KEYCODE_4,271
13892679246655,3.8897705,0.8580322,8.772766,KEYCODE_5,272
13892931016675,3.8897705,0.8580322,8.772766,KEYCODE_1,268
13893107255689,3.8897705,0.8580322,8.772766,KEYCODE_6,272
13893353990308,3.8897705,0.8580322,8.772766,KEYCODE_3,271
13893580583325,3.8897705,0.8580322,8.772766,KEYCODE_1,272
13893822282544,3.8897705,0.8580322,8.772766,KEYCODE_1,270
13894069017163,3.8897705,0.8580322,8.772766,KEYCODE_2,274
13894250291577,3.8897705,0.8580322,8.772766,KEYCODE_4,271
13894789079419,3.8897705,0.8580322,8.772766,KEYCODE_8,272
13895201982251,3.8897705,0.8580322,8.772766,KEYCODE_6,271
13895413469068,3.8897705,0.8580322,8.772766,KEYCODE_7,269
13895579637280,3.8897705,0.8580322,8.772766,KEYCODE_9,270
13895917009107,3.8897705,0.8580322,8.772766,KEYCODE_7,269
13896073106519,3.8897705,0.8580322,8.772766,KEYCODE_6,271
13896345018140,3.8897705,0.8580322,8.772766,KEYCODE_5,269
13896637071362,3.8897705,0.8580322,8.772766,KEYCODE_8,273
13896843522779,3.8897705,0.8580322,8.772766,KEYCODE_1,269
13897009690991,3.8897705,0.8580322,8.772766,KEYCODE_3,270
13897286638013,3.8897705,0.8580322,8.772766,KEYCODE_2,273
13897432664624,3.8897705,0.8580322,8.772766,KEYCODE_4,268
13897775071851,3.8897705,0.8580322,8.772766,KEYCODE_5,274
13897916063062,3.8897705,0.8580322,8.772766,KEYCODE_4,271
13898182939282,3.8897705,0.8580322,8.772766,KEYCODE_6,271
13898419603101,3.8897705,0.8580322,8.772766,KEYCODE_1,268
13898490098706,3.8897705,0.8580322,8.772766,KEYCODE_3,271
13898792222730,3.8897705,0.8580322,8.772766,KEYCODE_2,274
13899008744946,3.8897705,0.8580322,8.772766,KEYCODE_7,268
13899255479566,3.8897705,0.8580322,8.772766,KEYCODE_9,269
13899431718579,3.8897705,0.8580322,8.772766,KEYCODE_9,270
13899562638989,3.8897705,0.8580322,8.772766,KEYCODE_9,270
13899753984204,3.8897705,0.8580322,8.772766,KEYCODE_4,270
13899990648023,3.8897705,0.8580322,8.772766,KEYCODE_0,272
13900252488843,3.8897705,0.8580322,8.772766,KEYCODE_4,269
13900448869458,3.8897705,0.8580322,8.772766,KEYCODE_8,272
13900756028882,3.8897705,0.8580322,8.772766,KEYCODE_6,269
13901068223706,3.8897705,0.8580322,8.772766,KEYCODE_5,273
13901229356519,3.8897705,0.8580322,8.772766,KEYCODE_4,270
13901440843335,3.8897705,0.8580322,8.772766,KEYCODE_3,270
13901586869946,3.8897705,0.8580322,8.772766,KEYCODE_1,269
13901813462964,3.8897705,0.8580322,8.772766,KEYCODE_2,274
13902050126782,3.8897705,0.8580322,8.772766,KEYCODE_4,271
13902165940991,3.8897705,0.8580322,8.772766,KEYCODE_5,272
13902347215405,3.8897705,0.8580322,8.772766,KEYCODE_5,274
13902523467456,3.8897705,0.8580322,8.772766,KEYCODE_4,268
13902714812671,3.8897705,0.8580322,8.772766,KEYCODE_6,270
13902951476489,3.8897705,0.8580322,8.772766,KEYCODE_7,269
13903087432300,3.8897705,0.8580322,8.772766,KEYCODE_9,271
13903263671314,3.8897705,0.8580322,8.772766,KEYCODE_9,272
13903439910327,3.8897705,0.8580322,8.772766,KEYCODE_7,269
13903671538745,3.8897705,0.8580322,8.772766,KEYCODE_0,272
13903857848560,3.8897705,0.8580322,8.772766,KEYCODE_0,271
13904079406177,3.8897705,0.8580322,8.772766,KEYCODE_8,273
13904311034595,3.8897705,0.8580322,8.772766,KEYCODE_0,271
13904587981616,3.8897705,0.8580322,8.772766,KEYCODE_8,272
13904723937427,3.8897705,0.8580322,8.772766,KEYCODE_1,269
13904945495044,3.8897705,0.8580322,8.772766,KEYCODE_2,275
13905151946460,3.8897705,0.8580322,8.772766,KEYCODE_7,269
13905313079273,3.8897705,0.8580322,8.772766,KEYCODE_3,273
13905529601489,3.8897705,0.8580322,8.772766,KEYCODE_4,270
13905705840503,3.8897705,0.8580322,8.772766,KEYCODE_8,271
13905892150317,3.8897705,0.8580322,8.772766,KEYCODE_4,271
13906118743335,3.8897705,0.8580322,8.772766,KEYCODE_6,271
