Timestamp,x,y,z,alpha,beta,gamma,keyPressed,key_x,key_y,key_down,key_released
112061437532254,-0.010669708,0.03644581,-0.082657814,0.15841675,-0.0524292,-0.030227661,KEYCODE_3,1515.0,585.0,105852925,105853008
112062006532498,0.03875065,0.114997596,-0.1083684,0.12619019,-0.04008484,-0.03652954,KEYCODE_3,1526.0,604.0,105853632,105853706
112062701445423,0.11261368,0.075410336,0.62393427,0.15422058,-0.04473877,-0.04286194,KEYCODE_0,1014.0,1003.0,105854339,105854405
112063401366077,0.0014066696,0.081881434,-0.0040693283,0.15110779,-0.053985596,-0.013961792,KEYCODE_0,1025.0,1000.0,105855146,105855212
112064207030139,0.06512356,-0.04954435,0.716681,0.32984924,-0.08506775,-0.0069885254,KEYCODE_6,1438.0,744.0,105855761,105855844
112064841490589,0.03245735,0.009582251,0.12677288,-0.07685852,0.10424805,-0.017471313,KEYCODE_1,227.0,570.0,105856393,105856501
112065501128040,0.09037399,0.047541484,0.0050110817,0.10922241,-0.05204773,-0.049438477,KEYCODE_3,1582.0,594.0,105857017,105857100
112066095305286,0.21377182,0.35283136,0.18563461,0.026641846,-0.12106323,-0.06466675,KEYCODE_2,1043.0,578.0,105857666,105857724
112066719694934,-0.043330193,-0.033664137,1.1468477,-0.017990112,-0.012298584,0.019348145,KEYCODE_7,312.0,837.0,105858257,105858323
112067318907581,-0.0046195984,0.102795035,-0.13938236,0.15104675,-0.051483154,-0.029586792,KEYCODE_3,1496.0,586.0,105858798,105858864
112067862730823,0.0035362244,0.07444194,0.10868168,0.16500854,-0.054534912,-0.017623901,KEYCODE_3,1544.0,591.0,105859496,105859579
112068577757679,0.059638977,-0.11556515,0.3666997,0.121154785,-0.05014038,-0.010025024,KEYCODE_3,1552.0,584.0,105860328,105860418
112069418669544,0.07232952,0.056035265,0.54508924,-0.14271545,0.06314087,-0.009811401,KEYCODE_4,281.0,717.0,105861093,105861183
112070179015003,0.010807037,-0.084157154,0.29270124,0.14768982,-0.050949097,-0.005584717,KEYCODE_3,1552.0,602.0,105861691,105861790
112070788298450,-0.024391174,0.0056756884,-0.1009469,-0.03437805,0.037643433,0.005065918,KEYCODE_1,249.0,586.0,105862406,105862497
112071493254505,0.02232647,0.02972661,0.14573383,0.12831116,-0.11328125,-0.021270752,KEYCODE_6,1524.0,721.0,105862971,105863045
112072042076277,0.101652145,0.17030433,0.25547457,0.21444702,-0.10432434,-0.02949524,KEYCODE_5,1035.0,765.0,105863578,105863644
112072641288924,0.06450653,0.07429901,0.58067274,0.2353363,-0.07336426,-0.020233154,KEYCODE_5,1063.0,745.0,105864343,105864417
112073411705184,0.10794449,0.1497317,0.14964056,0.12313843,-0.07966614,-0.07917786,KEYCODE_2,1066.0,589.0,105865008,105865065
112074066307234,0.07191658,0.062016055,-0.11416721,0.067337036,-0.017211914,-0.035842896,KEYCODE_6,1504.0,728.0,105865573,105865622
112074620201277,0.20406914,0.18518013,0.41374922,0.20722961,-0.05873108,-0.074783325,KEYCODE_2,1075.0,582.0,105866180,105866254
112075254661727,0.17000484,0.24475837,0.2495513,0.10682678,-0.043762207,-0.043273926,KEYCODE_2,1076.0,593.0,105866895,105866960
112075954582381,-0.03063488,0.10329579,-0.17010307,0.21646118,-0.119766235,-0.008758545,KEYCODE_9,1457.0,919.0,105867576,105867642
112076639396834,0.02204895,0.115745634,0.024016857,0.20819092,-0.13624573,-0.02949524,KEYCODE_5,1085.0,749.0,105868158,105868224
112077218467879,0.014775276,0.033834502,-0.033471584,0.13323975,-0.06643677,-0.031280518,KEYCODE_6,1515.0,723.0,105868748,105868806
112077802574324,-0.020158768,-0.031206891,0.3986392,-0.09609985,0.037521362,0.0024108887,KEYCODE_7,345.0,884.0,105869363,105869429
112078426963973,0.020275116,0.009063691,0.13717222,-0.10256958,0.051513672,0.026397705,KEYCODE_1,267.0,587.0,105869978,105870052
112079051353621,0.036034584,0.2450322,0.5058727,0.21658325,-0.04710388,-0.057037354,KEYCODE_2,1044.0,612.0,105870610,105870676
112079675743269,0.023428917,-0.08583674,0.39235353,0.23895264,-0.105270386,6.1035156E-5,KEYCODE_9,1427.0,930.0,105871225,105871316
112080310203719,-0.0518713,0.1356839,-0.087938786,0.1252594,-0.083114624,-0.04159546,KEYCODE_3,1502.0,619.0,105871799,105871864
112080864097762,0.06361389,0.034979776,0.45788002,0.17208862,-0.05458069,-0.038726807,KEYCODE_5,1076.0,757.0,105872430,105872488
112081483452010,0.01781559,-4.891902E-4,-0.26652956,-0.014007568,0.013122559,-0.0068359375,KEYCODE_1,265.0,572.0,105873029,105873061
112082057492041,0.017998695,0.003112927,0.521019,-0.0970459,0.024612427,0.012054443,KEYCODE_4,311.0,716.0,105873611,105873685
112082681881690,0.027179718,0.005933225,0.22951984,0.15660095,-0.11190796,-0.010528564,KEYCODE_0,1016.0,1003.0,105874300,105874375
112083371731543,0.040254593,0.097368285,0.012578011,0.06340027,-0.03315735,-0.035690308,KEYCODE_5,1101.0,717.0,105874874,105874923
112083920590186,0.035419464,-0.010220006,0.04393339,0.16271973,-0.12036133,-0.026428223,KEYCODE_9,1465.0,900.0,105875456,105875522
112084519802832,0.081067085,-0.0030794293,0.34030867,0.18563843,-0.058639526,-0.055160522,KEYCODE_6,1493.0,752.0,105876004,105876070
112085068661475,0.045110703,0.040240437,0.0123205185,0.11540222,-0.015655518,-0.037765503,KEYCODE_6,1546.0,722.0,105876636,105876694
112085693051123,0.08831024,0.05383735,-0.18313456,-0.100494385,0.13345337,-0.01411438,KEYCODE_1,236.0,570.0,105877276,105877367
112086367794776,0.016690254,0.030318841,0.14402962,-0.12742615,0.016815186,0.026611328,KEYCODE_7,325.0,857.0,105877891,105877965
112086961972022,0.05914402,-0.041803226,0.17042875,-0.16496277,0.12176514,0.0025939941,KEYCODE_1,260.0,574.0,105878456,105878530
112087530972266,0.012867928,0.0068942457,0.18700123,-0.09561157,0.016525269,-0.007873535,KEYCODE_4,298.0,745.0,105879063,105879145
112088145291114,0.02711773,-0.02546607,0.37108803,0.14834595,-0.060806274,-0.052474976,KEYCODE_6,1498.0,719.0,105879595,105879661
112088658901953,0.04967022,0.14304946,-0.17740631,0.27656555,-0.0803833,-0.051818848,KEYCODE_3,1529.0,613.0,105880135,105880226
112089222866797,-0.055752754,0.032202482,0.30445862,-0.10888672,0.0921936,0.009216309,KEYCODE_1,265.0,577.0,105880759,105880849
112089847256446,0.008728027,0.02993286,0.61236525,-0.07322693,0.08441162,-0.0011444092,KEYCODE_1,274.0,577.0,105881432,105881522
112090522000098,-0.11209488,-0.06915495,0.6783266,-0.07859802,0.04374695,-0.019058228,KEYCODE_4,314.0,742.0,105882080,105882162
112091161495948,0.023245811,-0.0026394427,0.083679676,-0.103530884,0.020019531,0.027679443,KEYCODE_1,253.0,583.0,105882703,105882761
112091755673194,0.045448303,0.057796396,0.7089138,0.16116333,-0.09918213,-0.0705719,KEYCODE_0,999.0,1007.0,105883393,105883459
112092455603657,0.003648758,0.08111242,0.14037132,0.16949463,-0.0061798096,-0.0670166,KEYCODE_3,1507.0,579.0,105883975,105884041
112093039710102,0.09269047,-0.022534698,0.38483858,0.07046509,-0.07362366,-0.02268982,KEYCODE_9,1403.0,897.0,105884557,105884606
