id,Timestamp,x,y,z,a,b,c,alpha,beta,gamma,x_ra,y_ra,z_ra
1,1485113652293,0.028428078,0.013584077,0.007027149,-1.5258789E-4,-0.003921509,0.0024871826,7.573944,-5.750621,37.78512,5.8851624,0.72636414,7.421921
2,1485113652579,-0.009698391,-0.0029658675,-0.042321205,-9.765625E-4,-0.0047454834,0.002243042,7.570465,-5.7514305,37.78767,5.8229218,0.7535095,7.442108
3,1485113652581,0.034906864,-0.05925399,-0.06989241,-0.0012207031,-0.004989624,0.0024871826,7.5665894,-5.751065,37.790257,5.849945,0.70436096,7.4078827
4,1485113652586,0.010814667,-0.041952252,-0.017207146,-0.0012207031,-0.0032958984,0.0033416748,7.5564575,-5.7408314,37.799953,5.8403015,0.7058258,7.4437866
5,1485113652595,0.0011591911,-0.050720632,-0.06632662,-0.0012207031,-0.0028533936,0.0035552979,7.545807,-5.735775,37.80406,5.8278503,0.70150757,7.414093
6,1485113652600,-0.017770767,-0.09236252,-0.058434963,-0.0012207031,-0.0019989014,0.0018310547,7.5374146,-5.7271996,37.80673,5.810547,0.66490173,7.4101257
7,1485113652606,-0.01763916,-0.0535931,-0.07418394,-0.0012207031,-0.0017852783,-1.8310547E-4,7.5298157,-5.7227044,37.80971,5.806961,0.6856384,7.3988647
8,1485113652611,-0.029227257,-0.09761965,-0.075685024,-0.0037994385,-7.6293945E-5,-7.171631E-4,7.533783,-5.714255,37.811897,5.797394,0.65859985,7.3928986
9,1485113652616,-0.04302454,-0.14812136,-0.07249594,-0.0061950684,-5.340576E-4,-7.171631E-4,7.5264587,-5.7006903,37.81325,5.7832184,0.6062927,7.394409
10,1485113652620,-0.011916161,-0.13910633,-0.022311687,-0.008346558,0.001953125,0.0019683838,7.519867,-5.686602,37.81388,5.8066254,0.6032562,7.436569
11,1485113652628,-0.070476055,-0.13486326,-0.022230625,-0.0078125,0.0060577393,0.0016021729,7.5208435,-5.6725106,37.810333,5.7619476,0.60643005,7.4447937
12,1485113652631,-0.109491825,-0.07896048,-0.04339838,-0.005844116,0.0067596436,0.0014190674,7.538269,-5.6639333,37.804787,5.718155,0.65289307,7.426773
13,1485113652636,-0.10105324,-0.089607,-0.09256315,-0.005493164,0.0042266846,0.0022735596,7.537964,-5.655013,37.802086,5.7173767,0.65216064,7.383896
14,1485113652643,-0.008021355,-0.07904184,0.05904007,-0.0010070801,0.0035552979,0.0042877197,7.540436,-5.646525,37.798798,5.797058,0.6576843,7.5016785
15,1485113652646,-0.08083725,-0.068728685,-0.03353405,0.0035095215,0.0035552979,0.004623413,7.543152,-5.6407037,37.795395,5.7482758,0.66737366,7.445923
16,1485113652651,-0.04686308,-0.056372464,-0.0073800087,0.0096588135,0.0054016113,0.004623413,7.5606384,-5.6372285,37.79235,5.7667847,0.6790161,7.4555664
17,1485113652656,-0.04618454,-0.027871847,-0.026268482,0.014251709,0.0056915283,0.003692627,7.561249,-5.6378293,37.789658,5.7712555,0.70552063,7.4424744
18,1485113652661,-0.0031228065,0.0024989247,-0.00252676,0.01852417,0.0047454834,0.0026245117,7.566437,-5.642145,37.788197,5.8086395,0.73617554,7.4608154
19,1485113652668,-0.019432545,-0.057174206,-0.08030605,0.021636963,0.003753662,0.0033569336,7.5643005,-5.643971,37.789307,5.8006897,0.6922455,7.40065
20,1485113652671,-3.3521652E-4,0.0017020106,0.0053544044,0.021331787,7.4768066E-4,0.005432129,7.5971375,-5.6487584,37.788692,5.814041,0.7325287,7.4600525
21,1485113652675,0.027922153,-0.02953434,-0.07710791,0.019302368,-6.1035156E-4,0.0056915283,7.586792,-5.6516137,37.79318,5.8419037,0.7125702,7.39682
22,1485113652681,0.006407261,-0.010811508,0.006207466,0.013320923,2.2888184E-4,0.0056915283,7.586792,-5.654049,37.79351,5.825836,0.72624207,7.4623413
23,1485113652686,-0.04783821,-0.01799941,0.0037856102,0.007843018,0.0022735596,0.0047302246,7.5934143,-5.654373,37.79094,5.7742157,0.72177124,7.4688416
24,1485113652691,-0.007186413,-0.032049656,0.01074028,0.00440979,0.004425049,0.004623413,7.6263123,-5.6524696,37.789455,5.8056335,0.70809937,7.4750977
25,1485113652695,-0.011666775,-0.029364705,-0.01307106,0.0023040771,0.004623413,0.004623413,7.6286926,-5.6501484,37.788197,5.805298,0.7088165,7.4555664
26,1485113652700,-0.027976036,-0.01009959,0.0034780502,-9.3078613E-4,0.0017089844,0.0055999756,7.6331787,-5.6483755,37.78618,5.789444,0.72647095,7.4670715
27,1485113652711,0.0053310394,0.01616323,0.031695843,-0.0022125244,0.0014190674,0.0056915283,7.6358337,-5.647516,37.785015,5.8185883,0.75231934,7.4949036
28,1485113652711,0.014786243,-0.021451116,0.10442877,-0.0032806396,0.0033874512,0.0056915283,7.703491,-5.6431365,37.781605,5.830063,0.71910095,7.565567
29,1485113652715,6.518364E-4,0.0026040673,0.06794691,-0.0033569336,0.0055389404,0.004699707,7.7113953,-5.6406426,37.778133,5.8174286,0.7385254,7.5376434
30,1485113652720,0.066905975,-0.016086757,0.07185888,-0.0013580322,0.0066833496,0.0036315918,7.713043,-5.63733,37.77703,5.879059,0.72224426,7.5397186
31,1485113652726,0.05474758,-0.013435304,0.08280516,-0.002166748,0.0058135986,0.0016937256,7.7176514,-5.6345544,37.774845,5.872696,0.7231598,7.5504456
32,1485113652730,0.03548765,-0.036873758,0.13152456,7.324219E-4,6.2561035E-4,-5.950928E-4,7.683899,-5.6308293,37.771343,5.853195,0.7009125,7.5992584
33,1485113652735,0.065763,-0.05317217,0.052577496,0.002960205,-0.004776001,-0.001739502,7.678131,-5.627768,37.773216,5.8818054,0.68370056,7.526703
34,1485113652740,0.029557705,-0.041088343,0.028722763,0.0030517578,-0.008087158,-0.0028076172,7.6719055,-5.6263466,37.775475,5.8487244,0.694458,7.5004272
35,1485113652745,0.0384264,-0.010267496,-0.018455982,0.0030517578,-0.009231567,-0.0038757324,7.660553,-5.62761,37.78012,5.856598,0.7247162,7.4536743
36,1485113652750,0.049525738,0.01319319,-0.048665524,0.0030517578,-0.01133728,-0.003921509,7.6067505,-5.630766,37.78653,5.8684845,0.7489166,7.421936
37,1485113652756,0.027424335,-0.031981766,-0.017206192,0.0020751953,-0.011398315,-0.003921509,7.593689,-5.6307554,37.79167,5.849365,0.7085266,7.449127
38,1485113652760,0.048110485,-0.05782771,-0.13244295,9.3078613E-4,-0.008270264,-0.003921509,7.5708313,-5.6292367,37.800465,5.8684235,0.67874146,7.3376007
39,1485113652765,-0.04453659,-0.029199779,-0.1028409,0.0019683838,-0.0029296875,-0.0049743652,7.563446,-5.6295304,37.80341,5.7771454,0.7064514,7.3635254
40,1485113652770,-0.053695202,-0.050418913,-0.11133623,0.0019836426,-0.0028533936,-0.004989624,7.4671936,-5.6287475,37.805534,5.7665405,0.6855011,7.3544006
41,1485113652775,0.017437458,0.0017264485,-0.100845814,0.0030517578,-0.004989624,-0.0028533936,7.4558105,-5.6311674,37.81035,5.837906,0.7377472,7.363861
42,1485113652781,-0.01597166,-0.015011787,-0.16591501,0.004119873,-0.0071258545,-0.0017852783,7.440674,-5.6329274,37.816544,5.83136,0.70991516,7.312851
43,1485113652786,-0.023416996,-0.03641522,-0.20543861,0.0051116943,-0.006134033,-0.0027770996,7.384491,-5.635269,37.830242,5.7979584,0.6999512,7.255768
44,1485113652795,0.005092621,-0.019873977,-0.1281538,0.004135132,-0.0027770996,-0.003921509,7.374115,-5.637028,37.834564,5.825302,0.7171936,7.3311768
45,1485113652800,-0.023150444,0.015355051,-0.101186275,0.0052337646,0.0014953613,-0.003921509,7.3726196,-5.6412416,37.83574,5.797577,0.75224304,7.3578033
46,1485113652806,-0.018012524,0.021977663,-0.065078735,0.007247925,0.0046844482,-0.0038757324,7.3753967,-5.645489,37.835236,5.801758,0.7582245,7.3924255
47,1485113652810,-0.031723976,-0.009222031,-0.06474066,0.0052490234,0.0068206787,-0.0028839111,7.3563538,-5.647682,37.833668,5.7886353,0.72798157,7.394699
48,1485113652816,-0.009820461,-0.016658545,0.0016288757,0.0073242188,0.009918213,-0.0049438477,7.365814,-5.6497197,37.830235,5.808609,0.7213135,7.4568176
49,1485113652821,-0.030612946,-0.02163148,-0.0033564568,0.009292603,0.010818481,-0.00289917,7.3762817,-5.6511645,37.82632,5.788498,0.71736145,7.4544373
50,1485113652826,-0.018213749,-5.950928E-4,-0.0011959076,0.0062561035,0.0067596436,-0.003921509,7.385742,-5.653943,37.822998,5.7982483,0.73812866,7.456436
51,1485113652831,-0.04612446,0.0061467886,-0.006079197,0.0062561035,0.0066223145,-0.0038452148,7.344513,-5.656888,37.81928,5.771393,0.7412567,7.4536896
52,1485113652836,-0.0431571,-0.053248107,0.022156715,0.0061035156,0.004470825,-0.0028533936,7.3542175,-5.655771,37.815315,5.7726746,0.6877594,7.4803467
53,1485113652841,-0.05681944,-0.017671108,0.019528389,0.004119873,0.0024871826,-0.0027770996,7.3644714,-5.656561,37.811394,5.7974396,0.73298645,7.54953
54,1485113652846,-0.051255703,0.012819469,0.025568485,0.004119873,0.0024871826,-0.0017852783,7.2991333,-5.659187,37.803337,5.7671204,0.75164795,7.484329
55,1485113652855,-0.012907982,0.007893205,0.013443947,0.002960205,0.0036315918,-6.2561035E-4,7.3049316,-5.6602783,37.801212,5.80159,0.7488861,7.474991
56,1485113652860,-0.019791603,0.026648879,0.032152176,0.0019836426,0.004257202,3.5095215E-4,7.312134,-5.662211,37.79865,5.7935333,0.76586914,7.4902344
57,1485113652866,-0.036180973,0.021658182,0.00830698,0.0019836426,1.5258789E-4,4.5776367E-4,7.316681,-5.6639285,37.7971,5.777466,0.7610779,7.471863
58,1485113652870,-0.0454154,0.016739845,0.04136038,0.0019836426,-0.0018920898,0.0015258789,7.2378845,-5.6649218,37.794674,5.7700043,0.7561035,7.50148
59,1485113652876,-0.033382416,0.009512365,0.03641081,0.0020751953,-0.002960205,0.0025939941,7.241516,-5.6654363,37.793324,5.780777,0.7514496,7.496231
60,1485113652881,-0.03325224,0.06374931,0.007894039,0.0030059814,-0.003921509,0.0036010742,7.244507,-5.669363,37.79269,5.7805023,0.80274963,7.464493
61,1485113652886,-0.035479546,0.049116015,-0.027474403,0.0019836426,-0.0037994385,0.004623413,7.2445984,-5.6722865,37.79307,5.7811584,0.7892761,7.4287415
62,1485113652891,-0.0117378235,0.041709423,-0.062538624,0.0017242432,-0.003112793,0.004501343,7.2192383,-5.674791,37.795635,5.801285,0.78660583,7.39447
63,1485113652896,-0.01896286,0.069833755,-0.083090305,-2.89917E-4,-0.005264282,0.003692627,7.2118835,-5.6787977,37.799084,5.7935333,0.8090973,7.380951
64,1485113652901,-0.030926228,0.050511837,-0.04203558,-0.0010986328,-0.0074005127,0.004501343,7.2068176,-5.6813645,37.80144,5.7866974,0.79042053,7.4165344
65,1485113652906,-0.0026855469,0.03372252,-0.03907299,-2.89917E-4,-0.009002686,0.003692627,7.1980286,-5.6827693,37.805084,5.8128204,0.7718811,7.417206
66,1485113652911,0.013675213,-0.025389671,-0.05986643,-0.0012969971,-0.0068511963,0.004623413,7.199829,-5.6802254,37.809,5.830124,0.71665955,7.3898773
67,1485113652916,0.025340557,-0.022599816,-0.10894394,-0.0022888184,-0.0020751953,0.004623413,7.1871643,-5.6777983,37.813625,5.841736,0.7128906,7.3602753
68,1485113652921,0.034769535,-0.059993804,-0.023230076,-0.0022888184,0.0034637451,0.0043029785,7.183319,-5.672549,37.814396,5.849045,0.67910767,7.4261475
69,1485113652926,0.030086994,-0.06880641,-0.0657959,-0.0024719238,0.008895874,0.0019836426,7.1791077,-5.6673665,37.81532,5.846924,0.67297363,7.4051514
70,1485113652931,0.04199314,-0.056362987,0.028891563,-0.003189087,0.009063721,-8.8500977E-4,7.1920776,-5.6628475,37.813553,5.8587646,0.67897034,7.488556
71,1485113652936,0.053851604,-0.08186275,0.04958105,-0.0021362305,0.009963989,-0.0019378662,7.1957397,-5.6570873,37.811302,5.8668365,0.66156006,7.4999237
72,1485113652941,0.03481579,-0.036402106,-0.014791012,-0.0010070801,0.009613037,-0.0028533936,7.1958923,-5.6552324,37.81098,5.851074,0.69906616,7.4466553
73,1485113652946,0.04182768,-0.052797854,0.008783817,0.0014801025,0.006378174,-0.0028533936,7.1954346,-5.65303,37.810852,5.8483887,0.68177795,7.4599304
74,1485113652951,-0.003250599,-0.07150233,-0.02440548,0.0045166016,0.0040130615,-0.0026397705,7.1822815,-5.6505566,37.81076,5.814026,0.66864014,7.462448
75,1485113652956,0.0085988045,-0.059349835,0.12688303,0.0058288574,9.918213E-4,-0.0017852783,7.190338,-5.6478553,37.807217,5.813858,0.67962646,7.566208
76,1485113652961,-0.041066647,-0.051923633,0.0290761,0.003692627,-7.171631E-4,-0.0015716553,7.1951294,-5.645528,37.805004,5.778961,0.6898041,7.4858704
77,1485113652967,-0.012430191,-0.02793777,0.019422054,0.0019836426,-7.171631E-4,-1.0681152E-4,7.1965637,-5.644042,37.804237,5.804138,0.7039795,7.475525
78,1485113652971,0.0017790794,-0.06539565,4.1294098E-4,0.0016784668,-8.69751E-4,0.0029296875,7.241028,-5.6392894,37.804935,5.8169403,0.68284607,7.4703674
79,1485113652976,0.003993988,-0.0055653453,0.057138443,-7.9345703E-4,-0.0022125244,0.0063323975,7.241516,-5.6365438,37.804356,5.8097076,0.7178955,7.514694
80,1485113652981,-0.038687706,-0.06415242,0.04966688,-0.0033569336,-0.0037078857,0.008895874,7.243164,-5.6292806,37.80269,5.784897,0.66638184,7.5064545
