id,Timestamp,x,y,z,a,b,c,alpha,beta,gamma
1,134092872045558,0.037148476,0.003153503,0.049664974,-0.0051574707,-0.008361816,-0.0012664795,245.98688,-3.7142746,42.510002
2,134093057409328,0.012836933,0.04531291,0.065867424,-8.392334E-4,-0.010360718,-0.0024261475,245.9946,-3.7196674,42.510204
3,134093062444728,0.009968758,0.05386895,-0.009827137,0.0034637451,-0.0104522705,-0.00440979,246.00838,-3.7278447,42.514076
4,134093067480129,0.04943657,0.043388516,-0.025774002,0.0074005127,-0.011413574,-0.0054626465,246.02298,-3.7360995,42.52121
5,134093077154201,0.03913212,0.009544671,0.01720047,0.008468628,-0.009384155,-0.004486084,246.05124,-3.7404232,42.52509
6,134093082067531,0.021893501,0.020763427,-0.0014977455,0.008239746,-0.010040283,-0.0054779053,246.05843,-3.746217,42.52889
7,134093087041896,0.03312826,0.031873077,-0.055322647,0.0063323975,-0.0069122314,-0.005340576,246.07117,-3.7532146,42.535435
8,134093092046779,0.07728624,0.0099594295,-0.118056774,0.0061950684,-0.0048980713,-0.004272461,246.08453,-3.7580674,42.546356
9,134093097021144,0.04097891,0.044843107,-0.08600044,0.0053863525,-0.0039520264,-0.0030670166,246.12447,-3.7654152,42.55337
10,134093102422756,0.054519176,0.0016818345,-0.113170624,0.0063934326,-0.0038909912,-9.918213E-4,246.13379,-3.768752,42.5623
11,134093107030910,0.06324291,-0.015025556,-0.060034752,0.0074005127,-0.0028839111,0.002319336,246.13657,-3.7695382,42.568993
12,134093112035793,-0.010542393,-8.928478E-4,-0.033382416,0.0074005127,-0.0028839111,0.004135132,246.1365,-3.7710185,42.57084
13,134093117040676,-0.0034742355,-0.024560183,-0.011724949,0.0075683594,-0.0025482178,0.004486084,246.15385,-3.7700226,42.57216
14,134093122045558,-0.05297947,-0.01027903,-0.002105236,0.008102417,-2.2888184E-4,0.0062713623,246.14807,-3.7700887,42.57041
15,134093127019924,-0.03357172,-0.047921985,-0.023296356,0.0059814453,0.002456665,0.0062713623,246.14027,-3.766576,42.56985
16,134093132421535,-0.04237938,-0.05863434,0.05497551,0.0040740967,0.0025634766,0.0063934326,246.1326,-3.7625978,42.570576
17,134093137029689,-0.0041618347,-0.02494669,0.0684762,0.0029144287,0.0033111572,0.006942749,246.17096,-3.7566514,42.565838
18,134093142034572,-0.008759022,-0.043512404,0.07479668,0.0022583008,0.002456665,0.0047912598,246.16074,-3.7532508,42.56215
19,134093147039455,-0.020362377,-0.028954148,0.09990311,0.0031280518,0.002670288,0.0030670166,246.14832,-3.7488909,42.55819
20,134093152044338,-0.015299797,0.04201603,0.028079033,0.0033416748,0.003967285,0.0030670166,246.19623,-3.7494402,42.549362
21,134093158117336,0.006207943,0.05099085,0.0135355,0.004196167,0.005004883,0.0030670166,246.20395,-3.7537901,42.54777
22,134093163152736,0.003759861,0.012804776,0.08888006,0.0036773682,0.0014343262,0.003250122,246.20212,-3.75417,42.544662
23,134093168188136,-0.0034937859,-0.0013835728,0.13061142,9.918213E-4,-0.0039520264,0.0038909912,246.19586,-3.752796,42.54063
24,134093173223537,-0.022506237,-0.0013628304,0.039947033,0.001739502,-0.004470825,0.0030670166,246.24213,-3.752511,42.539635
25,134093178258937,-0.017815113,0.026939213,0.03507614,0.0036621094,-0.006362915,0.0030670166,246.24634,-3.7546048,42.539425
26,134093183294338,0.05520487,0.03615123,0.0043287277,0.002319336,-0.007156372,0.0033416748,246.25537,-3.7572532,42.5436
27,134093188329738,0.056791306,0.071192265,0.07765961,0.0031280518,-0.007156372,0.0036468506,246.26746,-3.7624593,42.545082
28,134093193365138,0.07491732,0.032781363,0.072458744,0.0033416748,-0.007156372,0.0024414063,246.29712,-3.764887,42.547283
29,134093198400539,0.0810895,0.030099094,0.09798145,0.004196167,-0.006866455,0.0038452148,246.30284,-3.7670057,42.548824
30,134093203435939,0.08257294,0.029751927,0.071312904,0.004196167,-0.0051879883,0.0024719238,246.30986,-3.769596,42.55076
31,134093208471340,0.022779465,0.001044929,0.09200668,0.004196167,-0.0025787354,6.2561035E-4,246.31,-3.770371,42.549004
32,134093213506740,0.07445288,0.04804629,0.048782825,0.004196167,-0.0015106201,-7.6293945E-4,246.34363,-3.7751381,42.5504
33,134093218542140,0.05251074,0.054439306,0.069675446,0.0047912598,-0.0013580322,-0.0022735596,246.3558,-3.7809887,42.550343
34,134093223577541,0.05430031,0.07258481,0.033809185,0.0063323975,-0.0034332275,-0.0022735596,246.37244,-3.7882676,42.552082
35,134093228612941,0.034829617,0.052745044,0.06434631,0.006668091,-0.004348755,-0.0029449463,246.38565,-3.794578,42.552105
36,134093237005275,0.043929577,0.037659377,-0.009289265,0.008087158,-0.0021972656,-0.0054473877,246.41283,-3.8012555,42.554405
37,134093238683742,0.034056664,0.017888844,0.02393341,0.009887695,-0.0018310547,-0.007247925,246.42598,-3.8071659,42.555355
