"DownTime","EventTime","Keypress","PreXminA","PreYminA","PreZminA","PreXminG","PreYminG","PreZminG","PreXminO","PreYminO","PreZminO","PreXmaxA","PreYmaxA","PreZmaxA","PreXmaxG","PreYmaxG","PreZmaxG","PreXmaxO","PreYmaxO","PreZmaxO","PreXdeltaMinA","PreYdeltaMinA","PreZdeltaMinA","PreXdeltaMinG","PreZdeltaMinG","PreYdeltaMinG","PreXdeltaMinO","PreYdeltaMinO","PreZdeltaMinO","PreXdeltaMaxA","PreYdeltaMaxA","PreZdeltaMaxA","PreXdeltaMaxG","PreYdeltaMaxG","PreZdeltaMaxG","PreXdeltaMaxO","PreYdeltaMaxO","PreZdeltaMaxO","WindowSize","XminA","YminA","ZminA","XminG","YminG","ZminG","XminO","YminO","ZminO","MminA","MminG","MminO","XmaxA","YmaxA","ZmaxA","XmaxG","YmaxG","ZmaxG","XmaxO","YmaxO","ZmaxO","MmaxA","MmaxG","MmaxO","XmeanA","YmeanA","ZmeanA","XmeanG","YmeanG","ZmeanG","XmeanO","YmeanO","ZmeanO","MmeanA","MmeanG","MmeanO","XmedianA","YmedianA","ZmedianA","XmedianG","YmedianG","ZmedianG","XmedianO","YmedianO","ZmedianO","MmedianA","MmedianG","MmedianO","XsdA","YsdA","ZsdA","XsdG","YsdG","ZsdG","XsdO","YsdO","ZsdO","MsdA","MsdG","MsdO","XvarA","YvarA","ZvarA","XvarG","YvarG","ZvarG","XvarO","YvarO","ZvarO","MvarA","MvarG","MvarO","XrmsA","YrmsA","ZrmsA","XrmsG","YrmsG","ZrmsG","XrmsO","YrmsO","ZrmsO","MagnRmsA","MagnRmsG","MagnRmsO","SqSumRmsA","SqSumRmsG","SqSumRmsO","XskewA","YskewA","ZskewA","XskewG","YskewG","ZskewG","XskewO","YskewO","ZskewO","MskewA","MskewG","MskewO","IsKey","TotalTime"
13324557,13324993,"NONE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-0.155509,-0.20928681,-2.3080254,-0.06851196,-0.09324646,-0.005264282,237.64148,-4.386763,41.321236,0.0219447246426302,0.00812799493766425,241.242914248414,0.18485594,0.21695977,0.6861949,0.05441284,0.09449768,0.035324097,238.00847,-3.9315999,41.590202,2.31064830898779,0.116248887712253,241.622566419562,0.0188777121896078,-0.00287257607058823,-0.0115831889392157,-0.0191494809843137,0.00410311830137255,0.0138421152177255,237.851428627451,-4.16518412745098,41.4307619607843,0.252597955046191,0.0606319680092261,241.468797656215,0.01887989,-0.009797573,-0.0055966377,-0.027679443,0.004043579,0.013122559,237.85689,-4.243116,41.422504,0.188457714531967,0.0572612025038264,241.478216604148,0.0723043305871017,0.0902617618600865,0.39378284389238,0.0376049800760262,0.0458196440686347,0.0130296340308443,0.106389216822376,0.135234692687562,0.0731828815980791,0.322283965416605,0.0228085645993102,0.114847509914336,0.00522791622164888,0.00814718565408696,0.155064928143971,0.00141413452651833,0.00209943978257637,0.000169771362977736,0.0113186654560785,0.0182884221062992,0.00535573415899846,0.103866954364651,0.000520230619080906,0.0131899505335235,0.074039017267612,0.0894186144438217,0.3900751333049,0.041870144739611,0.0455533739303529,0.0189221210868142,237.851451954471,4.16733591652557,41.4308253281411,0.406984120463983,0.064701356735223,241.468824432601,0.755079278115992,0.00518715992761844,58307.2190306828,-9.03601640927313e-05,0.230163807575996,-0.0456080146613888,0.680491945357333,0.00389828222694371,0.165673774725091,-0.154001675511681,1.72881390862628,0.338520181386095,0.597053351053119,0.44335523492368,-0.246037931684931,FALSE,436
13324994,13325060,"KEY_4",-0.155509,-0.1718722,-0.38006592,-0.06851196,-0.09324646,-0.005264282,237.74146,-4.386763,41.321236,0.13241339,0.21695977,0.28228664,0.04812622,0.09449768,0.035324097,238.00847,-4.0156727,41.590202,-0.13946199267,-0.118847608,-0.1566853477,-0.029159546,-0.004867553,-0.029159546,-0.0403200000000083,-4.386763,-0.0293010000000038,0.13241339,0.1284602312,0.25642872,0.023834228,0.023834228,0.02935791,237.76515,0.0340484999999999,41.332306,13,-0.07421398,-0.13615042,-0.58620644,-0.028396606,-0.074020386,-0.005569458,237.63945,-4.234697,41.348873,0.0826862278840595,0.00888393144162603,241.242682750139,0.16728687,0.13809258,0.21136141,0.096221924,0.018951416,0.00541687,237.82689,-3.9742277,41.530148,0.613568272323317,0.114255398148937,241.461942784977,0.0236140392538462,0.0306599600769231,-0.180883442076923,0.056999793,-0.0256007263230769,0.00183809719230769,237.741074615385,-4.14271397692308,41.4500496923077,0.286922591040432,0.0719022296384047,241.362999623239,0.013885021,0.0674707,-0.20291662,0.073654175,-0.015396118,0.0032806396,237.74704,-4.17821,41.445526,0.242956265116475,0.0863170704959368,241.368689131342,0.0658637426745031,0.0953070057029248,0.250540510436663,0.0433432249994808,0.030473109766199,0.0036458534458493,0.0753847215527742,0.0934618308284559,0.0658090506938882,0.15516088276117,0.0381205698786407,0.0869411821853744,0.00433803259909316,0.00908342533605733,0.0627705473698636,0.00187863515335562,0.000928610418822812,1.32922473486112e-05,0.00568285624358929,0.00873511382180691,0.00433083115323075,0.0240748995392254,0.00145317784787233,0.00755876915979046,0.0675422877437571,0.0965646594884758,0.301099424349539,0.0705910841323924,0.0388918505141272,0.00395580182411895,237.741085647793,4.1436870389284,41.4500979152652,0.323338147207238,0.0806927850769288,241.363014077246,0.146613201515564,0.0080419478240253,58256.1185184392,0.443142973301413,-1.1586999188019,0.263827728513952,-1.15273254356589,-1.00461768438178,-1.18699977586971,-0.237397624844341,1.13937495431928,0.206219004528791,0.850078804816396,-1.13441437812362,-0.196322661828375,TRUE,66
13325060,13325593,"NONE",-0.155509,-0.1718722,-0.38006592,-0.06851196,-0.09324646,-0.005264282,237.74146,-4.386763,41.321236,0.13241339,0.21695977,0.28228664,0.04812622,0.09449768,0.035324097,238.00847,-4.0156727,41.590202,-0.13946199267,-0.118847608,-0.1566853477,-0.029159546,-0.004867553,-0.029159546,-0.0403200000000083,-4.386763,-0.0293010000000038,0.13241339,0.1284602312,0.25642872,0.023834228,0.023834228,0.02935791,237.76515,0.0340484999999999,41.332306,118,-0.7666545,-0.46834856,-0.7374153,-0.051712036,-0.093826294,-0.06724548,237.63945,-5.5909934,41.348873,0.0458540488869955,0.00888393144162603,241.242682750139,0.35946178,0.32249254,0.42232752,0.13850403,0.12045288,0.044937134,239.01974,-3.9742277,42.326546,0.886154267982784,0.141369929591919,242.785733381584,-0.00474516040423729,0.019411085090678,-0.0592976139411017,0.0336801560968644,-0.0192038325577119,-0.0063154576420339,238.335458135593,-4.59580690762712,41.8306444237288,0.232545605280816,0.0723654826000937,242.022617359794,0.00833296775,0.050334185,-0.046274662,0.030647278,-0.024017334,-0.0068969726,238.384275,-4.44823165,41.806755,0.193606178827957,0.0644073629777353,242.080176782852,0.124811888676296,0.146530307758857,0.183290419305186,0.0503748531291687,0.0397488596254426,0.0216385524303532,0.358771022719929,0.43398014200437,0.284452609596778,0.141611571352061,0.0293345571555463,0.404384665252831,0.0155780075549442,0.0214711310919054,0.0335953778090709,0.00253762582778532,0.00157997184152314,0.000468226951281143,0.128716646743504,0.188338763654133,0.0809132871064172,0.0200538371407999,0.000860516243512012,0.163526957491644,0.124372453095646,0.147193622749887,0.191903304392021,0.0604191479488843,0.0439928338999713,0.0224531497010689,238.335725879548,4.61607883431705,41.8316033697696,0.271958356929588,0.0780383675182807,242.022952330603,0.130299317817316,0.0076702058645333,58575.433672112,-0.314348135252304,-0.633106564415569,-0.21315274399724,0.180618577036105,0.363293550127946,0.0806220693141732,-0.408200729562955,-1.02015214529539,0.251951533466492,0.824920437244164,0.813864642322076,-0.427014879673095,FALSE,533
13325594,13325635,"KEY_2",-0.7666545,-0.46834856,-2.3080254,-0.06851196,-0.093826294,-0.06724548,237.63945,-5.4907904,41.321236,0.35946178,0.32249254,0.6861949,0.13850403,0.09449768,0.044937134,238.88943,-3.9315999,42.277412,-1.12611628,-0.173571233,-2.13244538,-0.039047241,-0.044113159,-0.039047241,-0.068460000000016,-4.386763,-0.0476979999999969,0.4757657,0.2745844707,2.6847878,0.02644348,0.02644348,0.02935791,237.76515,0.0340484999999999,41.332306,8,0.02314949,0.05564946,-0.06448555,-0.07678223,0.028274536,0.008300781,239.01303,-5.5475116,42.1184,0.107064210524558,0.0528869119469097,242.769413111235,0.10705662,0.21834403,0.23228121,-0.042938232,0.05052185,0.036727905,239.04779,-5.410528,42.191673,0.243792856534924,0.0894573430251543,242.796240765486,0.050239742125,0.125432320375,0.0880610345,-0.06612205525,0.032337188625,0.027265548625,239.0308375,-5.478343475,42.157926125,0.198788384736711,0.0791680157776649,242.781891478016,0.04616332,0.125441015,0.110514878,-0.069213865,0.0293807985,0.031272888,239.0325,-5.47925545,42.1614645,0.216459612870097,0.0853874187468198,242.779482518655,0.0271529498390383,0.0658646025167178,0.110470625765434,0.0114929153034847,0.00747922499146062,0.0101902877568588,0.013152883171162,0.0476716506915722,0.0245562472553913,0.0429552832971244,0.0130510981416177,0.0104864069919823,0.000737282684961331,0.00433814586468523,0.0122037591570065,0.000132087102173072,5.59388064728891e-05,0.000103841964567587,0.000172998335714237,0.00227258627965928,0.000603009279267915,0.00184515636313621,0.000170331162702138,0.000109964731601496,0.0562952399242393,0.139746715976642,0.135768313901259,0.0669903157544842,0.0330853475700741,0.0288837646580026,239.03083781664,5.47852496052266,42.1579323828159,0.202808613534965,0.0801037732540545,242.781891676175,0.0434568936896301,0.00665599298579699,58943.047118303,0.450384449847793,-0.000396022658656121,-0.60976870578276,0.807056260754629,1.18584083045053,-1.17975256556502,-0.379194427193135,0.0573910271683587,-0.432277981631065,-1.23415981297247,-1.42962750758625,0.689166278542959,TRUE,41
13325635,13326093,"NONE",-0.7666545,-0.46834856,-2.3080254,-0.06851196,-0.093826294,-0.06724548,237.63945,-5.4907904,41.321236,0.35946178,0.32249254,0.6861949,0.13850403,0.09449768,0.044937134,238.88943,-3.9315999,42.277412,-1.12611628,-0.173571233,-2.13244538,-0.039047241,-0.044113159,-0.039047241,-0.068460000000016,-4.386763,-0.0476979999999969,0.4757657,0.2745844707,2.6847878,0.02644348,0.02644348,0.02935791,237.76515,0.0340484999999999,41.332306,100,-0.27437496,-0.47770333,-0.48292923,-0.14712524,-0.10983276,-0.05973816,238.72742,-5.665916,41.77011,0.0406909790547911,0.0123080367515942,242.402226761361,0.16336012,0.3789211,0.36469364,0.15014648,0.108062744,0.036727905,239.59926,-4.7825255,42.191673,0.632802827515753,0.173696483072752,243.298126174717,0.002528620105,-0.0090262061767,-0.007666296879,-0.00485183728684,0.009733734078,-0.012225799669,239.1558397,-5.234998639,41.91197271,0.245674652135222,0.0790804718505955,242.857139325419,0.0185511115,0.0094422995,-0.0083913805,-0.013618469,0.0102615355,-0.014808655,239.121035,-5.2186222,41.8899925,0.222438899435024,0.072788587852995,242.817687578969,0.0968355160297277,0.179018444749323,0.181116896736569,0.0716271356911851,0.0435233043834496,0.0236131224867442,0.226885091000027,0.211624322487868,0.106600771227079,0.115803622622033,0.0391902399400253,0.226429574817404,0.00937711716474365,0.0320476035604664,0.0328033302834849,0.00513044656732344,0.0018942780244544,0.000557579553573982,0.0514768445180906,0.0447848538684493,0.011363724426208,0.0134104790123862,0.00153587490655676,0.0512703523519906,0.0963832968554802,0.178349656357409,0.180372029673359,0.0714330625600511,0.0443855925195449,0.0264853532274871,239.155946245725,5.23923159973499,41.9121069206854,0.271352923190491,0.0881716348130396,242.85724382644,0.102010191733035,0.0105834236920364,58979.7423969663,-0.496382692588158,-0.309496136600246,0.0120102039190957,0.367177814465037,-0.0363806077785334,0.328146605657505,0.460206968821821,-0.23215345203439,0.618575543506545,0.601943674319305,0.481641654189611,0.522702210809242,FALSE,458
13326094,13326126,"KEY_8",-0.7666545,-0.47770333,-2.3080254,-0.14712524,-0.093826294,-0.06724548,237.63945,-5.5909934,41.321236,0.35946178,0.32249254,0.6861949,0.15014648,0.12045288,0.044937134,239.59926,-3.9315999,42.326546,-1.12611628,-0.238557395,-2.13244538,-0.039047241,-0.044113159,-0.039047241,-0.0710500000000138,-4.386763,-0.0476979999999969,0.4757657,0.2745844707,2.6847878,0.0317077636,0.0317077636,0.02935791,237.76515,0.060276,41.332306,6,-0.055636883,0.029682338,-0.16549253,-0.029846191,-0.01739502,-0.016662598,239.61285,-5.702441,41.923714,0.11170246566074,0.0171492296253016,243.318431078675,0.016249657,0.18268335,0.09014034,0.035736084,0.031570435,0.0034942627,239.74228,-5.6512384,41.93226,0.20400320652805,0.0478118179696285,243.448258790095,-0.0120790799333333,0.104213813,-0.0547597415,0.00653076183333333,0.00200398772783333,-0.00719960535,239.680991666667,-5.66931515,41.9295033333333,0.162613254613312,0.0299787801004928,243.386939913077,-0.00407123565,0.105024992,-0.0825383675,0.0095596315,-0.0027923583165,-0.0078048705,239.686705,-5.6619115,41.930248,0.166762923165071,0.0300724185359338,243.392526170011,0.0272757220239406,0.057221070256059,0.109101117430841,0.0249859451314173,0.0200947738473156,0.00772958769031692,0.0501656716955539,0.0210237438825485,0.0029734870214406,0.031553886672352,0.0112948027574697,0.0502351704981058,0.000743965011927276,0.00327425088124884,0.0119030538246581,0.000624297454110193,0.000403799935974761,5.97465258622988e-05,0.0025165946166661,0.000441997806838997,8.84162506667566e-06,0.000995647764131632,0.000127572569330145,0.00252357235497376,0.0276744469738527,0.116572128834639,0.113656679564798,0.0237254868980361,0.0184530732795093,0.0100808277808752,239.68099604157,5.66934763456301,41.9295034211953,0.165144715465084,0.031702330052466,243.38694423331,0.0287410377333227,0.00120762195389187,59237.2088290288,-0.880766156397765,-0.0425286872319957,0.7638407374959,-0.363668812694803,0.716058724638106,0.234914916907496,-0.341667905974823,-1.05646977646241,-0.751306457334453,-0.394531608246687,-0.0248712007066497,-0.333606328753107,TRUE,32
13326126,13326567,"NONE",-0.7666545,-0.47770333,-2.3080254,-0.14712524,-0.093826294,-0.06724548,237.63945,-5.5909934,41.321236,0.35946178,0.32249254,0.6861949,0.15014648,0.12045288,0.044937134,239.59926,-3.9315999,42.326546,-1.12611628,-0.238557395,-2.13244538,-0.039047241,-0.044113159,-0.039047241,-0.0710500000000138,-4.386763,-0.0476979999999969,0.4757657,0.2745844707,2.6847878,0.0317077636,0.0317077636,0.02935791,237.76515,0.060276,41.332306,93,-0.19812918,-0.2358675,-1.4045987,-0.0881958,-0.09176636,-0.047531128,239.61285,-6.1934237,41.80875,0.0380766872281132,0.0171492296253016,243.318431078675,0.13737345,0.30275518,0.46625423,0.09039307,0.08985901,0.041732788,240.60796,-5.444343,42.182564,1.41668642294528,0.109856896052064,244.355526741388,0.00551451903655914,0.0171061316494624,-0.0263700228863441,0.00561654703225806,-0.00632534233433333,-0.0107000207591398,239.969172903226,-5.70048199032258,41.9259831182796,0.200091181158645,0.0622291732290342,243.670924811408,0.0043058395,0.009330034,-0.010987282,0.001159668,-0.013671875,-0.014312744,239.83165,-5.671993,41.883083,0.178538827801902,0.0586420858469394,243.516056924593,0.0678666069564955,0.107070908198365,0.217680934712619,0.0442205051745044,0.041299162612878,0.0249627680569477,0.299456918468505,0.171667411418056,0.109141343505531,0.154960842021803,0.0236160935185498,0.314018855936885,0.00460587633978745,0.0114641793824227,0.0473849893373596,0.00195545307788837,0.00170562083252494,0.000623139789064968,0.0896744460186529,0.0294697001429761,0.0119118328621924,0.0240128625601062,0.000557719873076892,0.0986078418839104,0.0677256281473365,0.107858835411773,0.218107430937155,0.0443392862061665,0.0415606879059956,0.0270357135188177,239.969357739823,5.70303846590911,41.9261236484236,0.252569080677626,0.0665146065609915,243.671124973784,0.216887725485806,0.00535633652411737,59375.8124787055,0.0534289066786824,0.217877043735987,-0.21199937752912,0.302362830185014,0.533657260889051,0.434173393665938,1.37772308546878,-0.497863690386797,1.17920808655048,0.41724773321206,0.455674946317085,1.47954064433306,FALSE,441
13326568,13326651,"KEY_0",-0.7666545,-0.47770333,-2.3080254,-0.14712524,-0.10983276,-0.06724548,237.63945,-5.9218693,41.321236,0.35946178,0.3789211,0.6861949,0.15014648,0.12045288,0.044937134,240.47855,-3.9315999,42.326546,-1.12611628,-0.238557395,-2.13244538,-0.039047241,-0.044113159,-0.039047241,-0.0710500000000138,-4.386763,-0.0476979999999969,0.4757657,0.2745844707,2.6847878,0.0317077636,0.0317077636,0.02935791,237.76515,0.060276,41.332306,16,-0.0840106,-0.10893911,-0.35897684,-0.05567932,-0.09440613,-0.013885498,240.5262,-6.249297,42.060825,0.0321338300100603,0.0161872742594403,244.251746312122,0.14316559,0.12561804,0.38428688,0.03541565,0.073287964,0.04182434,240.69812,-6.0360155,42.208576,0.39331346901832,0.0976379659230833,244.449386001698,0.0524697304375,0.0309273604375,0.12333926625,-0.02062511436875,-0.00175571415625,0.02114486685625,240.611805625,-6.14585373125,42.132644375,0.23781443075393,0.0651052672212509,244.350119259536,0.07529044,0.051805705,0.197180035,-0.0244293215,0.00131988525,0.023628235,240.61987,-6.1576572,42.1320665,0.234572596452876,0.0702247419624766,244.356545482449,0.0703923343985726,0.062551942034613,0.209583609551475,0.0296287692376104,0.0551325604934948,0.0185509974597782,0.0503457958481454,0.0860197192161327,0.0522589521809424,0.112475140828691,0.025966952956024,0.0596667267435152,0.00495508074208047,0.00391274545230158,0.043925289392625,0.000877863966535569,0.00303959922656886,0.000344139506752696,0.00253469915958313,0.00739939209402231,0.00273099808305003,0.0126506573044339,0.000674282645820363,0.00356011828028531,0.086014305832718,0.0680051504311532,0.237471121201451,0.0353326026687975,0.0534107368148649,0.0277441197724706,240.611810562996,6.14641806388141,42.1326747589199,0.261563939979735,0.069791373395335,244.350126089102,0.084634007519232,0.00569327592480658,59706.9907950936,-0.972579319501702,-1.00132836248059,-1.05696388531563,0.385187157192576,-0.167356606262441,-0.401601285720789,-0.480539131270916,0.411654520297008,0.0331737420603138,0.0864680215690968,-0.591460393897098,-0.323105854669366,TRUE,83
13326651,13327058,"NONE",-0.7666545,-0.47770333,-2.3080254,-0.14712524,-0.10983276,-0.06724548,237.63945,-5.9218693,41.321236,0.35946178,0.3789211,0.6861949,0.15014648,0.12045288,0.044937134,240.47855,-3.9315999,42.326546,-1.12611628,-0.238557395,-2.13244538,-0.039047241,-0.044113159,-0.039047241,-0.0710500000000138,-4.386763,-0.0476979999999969,0.4757657,0.2745844707,2.6847878,0.0317077636,0.0317077636,0.02935791,237.76515,0.060276,41.332306,98,-0.20837927,-0.30827755,-0.35897684,-0.09159851,-0.09701538,-0.034866333,240.12299,-6.249297,41.653942,0.0321338300100603,0.0161872742594403,243.766594646091,0.1621542,0.30541968,0.38428688,0.10192871,0.09310913,0.05596924,240.69812,-5.2159133,42.208576,0.409790250053036,0.137341336456158,244.449386001698,0.00766105060806122,-0.00685580914387755,0.00256292201561224,-0.013032874155102,0.0130168369309184,0.0126546743448061,240.365752959184,-5.62797487244898,41.9359947244898,0.195856999600033,0.0669746126100387,244.061698482989,0.002658128715,-0.009707749,-0.002425909035,-0.014793396,0.025100708,0.01109314,240.320845,-5.4987252,41.915035,0.18989768772305,0.0682967021812611,244.000867732044,0.0799810643728668,0.109935184447887,0.166782896985525,0.0411720503019065,0.0517735350865615,0.0193955875986056,0.16882054221764,0.318925378817259,0.163948112741189,0.0875056686839553,0.0269177804695415,0.200458819400577,0.00639697065821666,0.012085744779591,0.0278165347268844,0.00169513772606272,0.00268049893535941,0.000376188818295184,0.0285003754746579,0.101713397253732,0.0268789836713976,0.00765724205182616,0.000724566905406432,0.0401837382754733,0.0799398970717239,0.109587512848344,0.165949573982737,0.042984836990154,0.0531280053182207,0.0230757652019842,240.365811639656,5.63691198000839,41.9363119294099,0.21433401788138,0.0721302440022221,244.061779965856,0.059647506422913,0.00647541260002867,59566.2320164875,0.187653987814087,0.0778260355075228,0.0897363783837838,0.128280362429493,-0.700195826818372,0.241529317459562,0.798030119920978,-1.21579856324045,0.383530938039149,0.204306028395909,-0.147347539228031,0.910372780711119,FALSE,407
13327059,13327134,"KEY_6",-0.7666545,-0.47770333,-2.3080254,-0.14712524,-0.10983276,-0.06724548,237.63945,-6.249297,41.321236,0.35946178,0.3789211,0.6861949,0.15014648,0.12045288,0.05596924,240.69812,-3.9315999,42.326546,-1.12611628,-0.238557395,-2.13244538,-0.039047241,-0.044113159,-0.039047241,-0.0710500000000138,-4.386763,-0.0476979999999969,0.4757657,0.2745844707,2.6847878,0.0317077636,0.0317077636,0.02935791,237.76515,0.060276,41.332306,14,-0.21418905,-0.23221034,-0.19155216,-0.08250427,-0.07269287,-0.05091858,240.27972,-5.522421,41.89031,0.056897300048373,0.0496724076701858,243.966366175111,0.1528678,0.21721333,0.22606707,0.054244995,0.059448242,-0.019546509,240.47879,-5.440207,41.97503,0.358734279891885,0.104505406045495,244.175962780651,-0.02919759,0.0385823587142857,0.0374772888285714,-0.0249067029285714,-0.0322309219714286,-0.0398864746428571,240.370285,-5.45684562142857,41.9243212142857,0.189191728442556,0.0799264893001387,244.060035096038,-0.0456969735,0.0536049325,0.013288498,-0.031227112,-0.040298462,-0.041893005,240.370435,-5.4436462,41.91107,0.193278374483935,0.0804786649748983,244.056574995829,0.113260831595461,0.134170375770856,0.117091950803197,0.0479697184998404,0.0359420374952016,0.00910107939617877,0.0738120614231735,0.0262052342741549,0.0302174322413109,0.100135632911206,0.0172110958676143,0.0776435622530978,0.0128280159736953,0.0180016897344928,0.0137105249428983,0.00230109389295393,0.00129183005930648,8.28296461755498e-05,0.00544822041153833,0.000686714303363345,0.000913093211258215,0.0100271449785279,0.000296221820964208,0.00602852275935067,0.112978884665407,0.134923879122324,0.118893855647091,0.0525078460254211,0.047311613952285,0.0408392470830766,240.370295523476,5.45690404894441,41.9243313262224,0.212378036642884,0.0816290806717309,244.060046564351,0.0594385240316927,0.00716082937976899,59565.3175255981,0.437027962824739,-0.3358991960648,0.619738350825505,0.395274931920828,0.673379189728614,0.661415070607557,-0.00609656458979518,-1.51108224683067,1.3155863985955,-0.122433321363334,-0.096247620547842,0.133691710225634,TRUE,75
