"DownTime","EventTime","Keypress","WindowSize","PreXminA","PreYminA","PreZminA","PreXminG","PreYminG","PreZminG","PreXminO","PreYminO","PreZminO","PreXmaxA","PreYmaxA","PreZmaxA","PreXmaxG","PreYmaxG","PreZmaxG","PreXmaxO","PreYmaxO","PreZmaxO","PreXdeltaMinA","PreYdeltaMinA","PreZdeltaMinA","PreXdeltaMinG","PreZdeltaMinG","PreYdeltaMinG","PreXdeltaMinO","PreYdeltaMinO","PreZdeltaMinO","PreXdeltaMaxA","PreYdeltaMaxA","PreZdeltaMaxA","PreXdeltaMaxG","PreYdeltaMaxG","PreZdeltaMaxG","PreXdeltaMaxO","PreYdeltaMaxO","PreZdeltaMaxO","XminA","YminA","ZminA","XminG","YminG","ZminG","XminO","YminO","ZminO","MminA","MminG","MminO","XmaxA","YmaxA","ZmaxA","XmaxG","YmaxG","ZmaxG","XmaxO","YmaxO","ZmaxO","MmaxA","MmaxG","MmaxO","XmeanA","YmeanA","ZmeanA","XmeanG","YmeanG","ZmeanG","XmeanO","YmeanO","ZmeanO","MmeanA","MmeanG","MmeanO","XmedianA","YmedianA","ZmedianA","XmedianG","YmedianG","ZmedianG","XmedianO","YmedianO","ZmedianO","MmedianA","MmedianG","MmedianO","XsdA","YsdA","ZsdA","XsdG","YsdG","ZsdG","XsdO","YsdO","ZsdO","MsdA","MsdG","MsdO","XvarA","YvarA","ZvarA","XvarG","YvarG","ZvarG","XvarO","YvarO","ZvarO","MvarA","MvarG","MvarO","XrmsA","YrmsA","ZrmsA","XrmsG","YrmsG","ZrmsG","XrmsO","YrmsO","ZrmsO","MagnRmsA","MagnRmsG","MagnRmsO","SqSumRmsA","SqSumRmsG","SqSumRmsO","SqSumSdA","SqSumSdG","SqSumSdO","PreSqSumSdA","PreSqSumSdG","PreSqSumSdO","XskewA","YskewA","ZskewA","XskewG","YskewG","ZskewG","XskewO","YskewO","ZskewO","MskewA","MskewG","MskewO","IsKey","TotalTime"
349611302,349611335,"KEY_6",6,-0.072071075,-0.06360805,-0.0777123,-0.025970459,-0.043640137,-0.004989624,17.755798,-6.937171,72.69099,0.08243084,0.046102703,0.2010889,-0.005218506,0.013214111,0.001876831,17.806763,-6.8687735,72.71016,-0.0903472905,-0.065997542,-0.20851088,-0.008972168,-0.0025634766,-0.008972168,-0.0538629999999998,-0.0123948999999994,-0.0106000000000108,0.062042236,0.087568909,0.1666987,0.009307861,0.009307861,0.00376892095,0.0255430000000025,0.0196938000000006,0.00629400000001112,-0.07550049,-0.09364766,-0.15220928,0.0016937256,-0.04660034,-0.008468628,17.792053,-6.8828654,72.70709,0.0765989657071448,0.0261054337654502,75.1669766942917,0.030564308,-0.022349566,-0.03268051,0.028213501,0.016220093,-0.0020599365,17.851868,-6.854517,72.763794,0.169875022108977,0.0466765865601559,75.2331378818196,-0.0359172821666667,-0.0542415878333333,-0.0945489013333333,0.01761372885,-0.0138295488333333,-0.00557454426666667,17.8195393333333,-6.86674008333333,72.7399898333333,0.125007801756906,0.0331532483517056,75.2050181048287,-0.03908348,-0.0492632685,-0.095501663,0.020767212,-0.011604309,-0.0058517456,17.816162,-6.8636247,72.7438925,0.129622077392333,0.0303767911790412,75.2090836993784,0.0362771379988531,0.0302354425926826,0.050552087060365,0.0103417343883269,0.0250931951868183,0.00263691418284337,0.027987851469283,0.0121514979518439,0.0223840516476986,0.0428884662691862,0.00798111960725919,0.0283037209731371,0.00131603074138783,0.000914181988775407,0.00255551350615873,0.000106951470158704,0.000629668444683759,6.95331640768051e-06,0.000783319829866645,0.000147658902473666,0.000501045768166839,0.00183942053892312,6.36982701853771e-05,0.0008011006209252,0.0488543083333478,0.060860234756865,0.105209739719315,0.019984235515365,0.0267578049330786,0.00607206506229635,17.8195576493565,6.86674904311655,72.7399927034061,0.130995423390272,0.0339443628323028,75.2050225432548,0.0196866348339473,0.00126823661178055,5655.79675079107,0.0105700419565377,0.000580496728136403,4.25699188229622,0.0140134143567624,0.000551356265400677,0.997049116263083,0.261834147453978,-0.49395532922063,0.0565413846630471,-0.914783642159512,-0.266037045115196,0.31537014189187,0.362014212170925,-0.769135627314297,-0.523050973266864,-0.322763393295467,1.04363446832916,-0.430925095000978,TRUE,33
349611335,349611843,"NONE",107,-0.072071075,-0.06360805,-0.0777123,-0.025970459,-0.043640137,-0.004989624,17.755798,-6.937171,72.69099,0.08243084,0.046102703,0.2010889,-0.005218506,0.013214111,0.001876831,17.806763,-6.8687735,72.71016,-0.0903472905,-0.065997542,-0.20851088,-0.008972168,-0.0025634766,-0.008972168,-0.0538629999999998,-0.0123948999999994,-0.0106000000000108,0.062042236,0.087568909,0.1666987,0.009307861,0.009307861,0.00376892095,0.0255430000000025,0.0196938000000006,0.00629400000001112,-0.25449848,-0.31865805,-0.756551,-0.10568237,-0.079193115,-0.03086853,16.921448,-7.276586,72.70505,0.0148140217155408,0.00678878938495103,75.0955642102706,0.2659521,0.3157753,0.3254323,0.066970825,0.07821655,0.022842407,17.851868,-6.6619363,73.12353,0.775920967810544,0.126481539495584,75.430139444246,-0.00793671831364486,-0.0142812085713084,-0.0254287116856075,0.00306473493551402,-0.00693946910196262,-0.000541187896542056,17.5279666542056,-6.84526571495327,72.8095953364486,0.135387508628809,0.0342318492771149,75.2023176394597,-0.0042352676,-0.0009070039,-0.010992527,0.00579834,-0.002090454,0.00062561035,17.54242,-6.8003035,72.754845,0.0976056778360813,0.0272454210263744,75.1524082194549,0.0643737427063271,0.0924836634640578,0.139357146358791,0.0280703108978901,0.0297059917811455,0.0106295891577147,0.179229529430371,0.166136574470623,0.12254028333549,0.120569910829032,0.025668842083229,0.100040892745503,0.0041439787500204,0.0085532280077331,0.0194204142412656,0.000787942353904206,0.000882445947701484,0.000112988165661805,0.0321232242198321,0.027601361376833,0.0150161210399422,0.0145371033973208,0.00065888945389375,0.0100081802213172,0.0645619196914548,0.0931517268526873,0.141016078589425,0.0281064228762113,0.0303702983312454,0.0105936342128707,17.528874408761,6.84726267299884,72.8096974917549,0.180917163670621,0.0427147645839394,75.2023835592464,0.0803099554642159,0.00333630158926726,5655.41835196763,0.0736824850416333,0.00280633650195514,15.0578983988612,0.0140134143567624,0.000551356265400677,0.997049116263083,-0.172498159561619,-0.433834609390427,-0.310773829605548,-0.292152631415079,-0.489700711326558,-0.329306682289379,-0.241924628832025,-0.811902167175502,1.34038378951753,0.940081083238965,0.816526303923753,1.49667057045646,FALSE,508
349611844,349611927,"KEY_0",17,-0.25449848,-0.21305934,-0.756551,-0.10568237,-0.04815674,-0.019836426,16.921448,-7.115629,73.05007,0.041085243,0.104632676,0.3254323,0.039611816,0.07821655,0.022842407,17.19104,-6.9531264,73.12353,-0.260329245,-0.173867226,-0.8866813,-0.033874511,-0.005783081,-0.033874511,-0.107756999999999,-0.0557030000000003,-0.0228699999999975,0.18118572,0.2170046,0.58258292,0.004226684,0.004226684,0.0104827879,0.068360000000002,0.0711393000000005,0.032116000000002,-0.081139565,-0.12202451,-0.3747282,-0.1416626,-0.058135986,-0.01914978,16.871826,-6.930507,72.811966,0.0952544923153852,0.00968492065890274,75.0836007231477,0.15970421,0.081238866,0.60427594,0.14837646,0.057525635,0.02571106,17.297455,-6.473135,73.038574,0.611458962033158,0.159161934011355,75.2944302564894,0.0417783961176471,-0.0163605199411765,0.182428390117647,0.0236466348823529,-0.0137795840941176,-0.000227086664705883,17.1058708823529,-6.67778451764706,72.8964418823529,0.357945712111662,0.109311827547345,75.1740778235583,0.029888153,-0.010843039,0.24018264,0.05079651,-0.019210815,-0.00390625,17.1315,-6.6609645,72.87898,0.353622567859029,0.121189738995614,75.1751766946755,0.0726792269214096,0.053784319293397,0.353308295169738,0.110949900737828,0.0375974469501272,0.0157553129214706,0.159481032096643,0.157939530100784,0.0707524849500726,0.185385720907082,0.0455158828837671,0.0729907607180924,0.00528227002589375,0.00289275300185408,0.124826751435747,0.0123098804737338,0.00141356801716763,0.000248229885253459,0.0254341995986105,0.0249448951684566,0.00500591412661024,0.0343678655162383,0.00207169559468881,0.00532765115020582,0.0819572000609326,0.0546832485621893,0.388283554727994,0.110204052552032,0.0389909463227183,0.0152865854804355,17.1065705713898,6.67954217087673,72.8964741983853,0.400588765677907,0.11789362488991,75.1741111745414,0.206919542956949,0.0162503302222758,5651.15702160692,0.134652070710804,0.00867896732242726,10.9752422587446,0.196420056132687,0.00512205635302799,5.12534561996895,0.490796763585737,-0.307755922934243,-0.490401023739958,-0.73411174603396,0.433372317520936,0.700556698613137,-0.482109702516711,-0.319489699057448,0.740407168678357,0.0699591785949905,-0.7828857112539,-0.045164803311774,TRUE,83
349611927,349612393,"NONE",109,-0.25449848,-0.21305934,-0.756551,-0.10568237,-0.04815674,-0.019836426,16.921448,-7.115629,73.05007,0.041085243,0.104632676,0.3254323,0.039611816,0.07821655,0.022842407,17.19104,-6.9531264,73.12353,-0.260329245,-0.173867226,-0.8866813,-0.033874511,-0.005783081,-0.033874511,-0.107756999999999,-0.0557030000000003,-0.0228699999999975,0.18118572,0.2170046,0.58258292,0.004226684,0.004226684,0.0104827879,0.068360000000002,0.0711393000000005,0.032116000000002,-0.32467556,-0.15481389,-0.842262,-0.1416626,-0.058135986,-0.01914978,16.630707,-6.9966984,72.523445,0.0156417515338524,0.00968492065890274,74.6774790248525,0.16271877,0.1631679,0.63121367,0.14837646,0.11500549,0.02571106,17.297455,-6.1832314,73.06885,0.850127240006953,0.159161934011355,75.3687509849916,0.00630438213302752,-0.00208972915917431,0.0199158657504587,-0.0038468946440367,0.0140919817162385,0.00314527039312844,16.9882076972477,-6.50128406880734,72.802261706422,0.202215073751699,0.0513860974565144,75.0406949728399,0.0054016113,-0.004867971,0.01138854,-0.005493164,0.009735107,0.0039978027,17.01233,-6.474462,72.78012,0.162609454029841,0.0396911286591715,75.0316602995192,0.0627637827632596,0.07595582578128,0.229762579486341,0.0533939361428586,0.0307889336030837,0.00961777735312414,0.174923983576968,0.232920317393004,0.128307094062651,0.14722330645579,0.0381016371564727,0.17309319268834,0.00393929242675364,0.00576928747011617,0.0527908429322172,0.00285091241682766,0.000947958432415098,9.25016412142675e-05,0.0305984000304353,0.0542518742544579,0.0164627103868021,0.0216747019637754,0.0014517347540035,0.0299612533550427,0.0627924944825392,0.0756354757718213,0.22957169899811,0.0532874831029067,0.0337319657706673,0.0100769900342282,16.9890999892752,6.50541687318849,72.8023737335996,0.249733432962926,0.063866635251483,75.0408927744484,0.121940298151774,0.00721643243656984,5631.19498826375,0.105268633155909,0.0059805708240282,25.9841360347381,0.196420056132687,0.00512205635302799,5.12534561996895,0.0431508806487673,0.109731221229527,0.111340921174229,0.0924975460635799,0.424523444599149,-0.265923905982695,-0.413704894989636,-0.345466669986752,0.517704182697975,0.807051967694078,0.920824117030589,0.156586284769062,FALSE,466
349612394,349612461,"KEY_1",14,-0.11219883,-0.06236747,-0.842262,-0.0471344,0.023376465,-0.015472412,16.630707,-6.2399907,72.523445,0.14478683,0.089004636,0.63121367,0.04008484,0.11500549,0.005935669,16.705383,-6.1832314,72.728745,-0.1393852187,-0.11588344,-0.71338412,-0.015533447,-0.0054168706,-0.015533447,-0.0746760000000002,-0.00940409999999936,-0.040655000000001,0.150183678,0.05523926,1.47347567,0.0251464842,0.0251464842,0.0015106202,0.0239869999999982,0.0254494999999997,0.0292450000000031,-0.087366104,-0.10099423,-0.2721262,-0.027313232,-0.014953613,-0.015319824,16.688416,-6.3097653,72.47384,0.0215848442651853,0.0150737681276494,74.6407951948947,0.06358147,0.013120502,0.185709,0.042404175,0.03137207,0.004348755,16.76123,-6.2020516,72.51658,0.282772128857811,0.0526671712439922,74.6818261859036,0.00763695603928571,-0.0422670228214286,0.0313414675571429,0.00628117142857143,0.00498635431428571,-0.00393458768214286,16.7227675,-6.27030617142857,72.4942357142857,0.121276133869428,0.0301760312993356,74.6617956021523,0.0077800751,-0.029666423,0.06142783,0.003051758,0.0016708374,-0.0012817383,16.71875,-6.2798162,72.491272,0.0930728066001846,0.0294728591826802,74.6592526844087,0.038160912273126,0.0361424776838523,0.12297693037446,0.0260641752541852,0.0170704659513072,0.00747511728931888,0.0246642585310126,0.0357783842820134,0.0153453818281128,0.071352391373515,0.0114855154973511,0.0128695713072538,0.00145625522551722,0.00130627869312776,0.0151233254043248,0.000679341231680877,0.000291400807794739,5.58773784890741e-05,0.000608325648884626,0.00128009278183143,0.000235480743450575,0.00509116375471926,0.000131917066239892,0.000165625865632491,0.0375574239354766,0.0547674564899378,0.122578038261672,0.0258895726597503,0.0171886646871834,0.00820774740089486,16.7227843893555,6.27040095536469,72.4942372224104,0.139410938764238,0.0321416751839385,74.6617966320997,0.0289055178149552,0.00127225156500351,5574.38418393453,0.0222037995001357,0.00077056252812662,1.92176381647341,0.248353327506569,0.00487742265302771,10.9543442884441,-0.011251229505989,-1.04591057079561,-0.733951376520263,0.371707149419916,0.582675995560359,-1.06467200960184,0.488662571584898,0.797411238288591,0.579401865439844,1.18580443036331,0.183667537643625,0.592774463794156,TRUE,67
349612461,349612903,"NONE",101,-0.11219883,-0.06236747,-0.842262,-0.0471344,0.023376465,-0.015472412,16.630707,-6.2399907,72.523445,0.14478683,0.089004636,0.63121367,0.04008484,0.11500549,0.005935669,16.705383,-6.1832314,72.728745,-0.1393852187,-0.11588344,-0.71338412,-0.015533447,-0.0054168706,-0.015533447,-0.0746760000000002,-0.00940409999999936,-0.040655000000001,0.150183678,0.05523926,1.47347567,0.0251464842,0.0251464842,0.0015106202,0.0239869999999982,0.0254494999999997,0.0292450000000031,-0.10684776,-0.17196238,-0.29118395,-0.038238525,-0.048706055,-0.036132813,16.634918,-7.005072,72.418846,0.0186147493675751,0.00776294543627946,74.5774165298674,0.104789734,0.23304302,0.39450383,0.050354004,0.033172607,0.017166138,17.283203,-6.1701984,72.590034,0.414601305272461,0.0600138187916505,74.9035656947446,0.000363123522277228,-0.013654333529703,0.00531130015445545,0.0106616634251485,-0.00257405199079208,-0.00625610351732673,16.9053604455446,-6.55628346633663,72.4847942178218,0.131003974305292,0.031046638472488,74.7189897516086,-0.0016126633,-0.017930388,0.017818213,0.013290405,-0.0006866455,-0.008468628,16.881012,-6.4767733,72.47122,0.114320579493791,0.0294142480800393,74.6685631917264,0.0417679831995998,0.0837176828593481,0.116793702937285,0.0241969970652706,0.0154749099763373,0.012052615471384,0.197306997329972,0.278255967847547,0.0540743153627679,0.0726447011912712,0.0125590742369132,0.110673980591625,0.00174456442056205,0.00700865042333839,0.0136407690458028,0.000585494666976714,0.000239472838775745,0.000145265539701046,0.0389300511953695,0.077426383642775,0.00292403158195208,0.00527725261116907,0.000157730345688297,0.0122487299799954,0.0415622829522082,0.0844138535373778,0.116335385140842,0.0263318961920159,0.0156117764594983,0.0135264961557029,16.9065004184463,6.56212714573133,72.4848141880818,0.14962300581494,0.0334673336186003,74.7190709053346,0.034078130534183,0.00142938948038037,5582.96383454002,0.0258213214220923,0.000892468827236442,16.5466602249316,0.248353327506569,0.00487742265302771,10.9543442884441,0.141911579462819,0.153231228729101,-0.321256519769574,-0.325917497253135,-0.365896763279032,0.550716436924342,0.370211587131464,-0.857234081464843,0.753086806409957,0.688972266576227,0.389930904536947,1.36689471940833,FALSE,442
349612904,349612936,"KEY_5",7,-0.10684776,-0.061577708,-0.29118395,-0.038238525,-0.023529053,0.0009613037,17.1109,-7.005072,72.53354,0.09939003,0.1274845,0.39450383,0.016662598,0.033172607,0.015655518,17.283203,-6.9123483,72.55586,-0.1039028137,-0.0971979833,-0.54840207,-0.015518189,-0.00038147,-0.015518189,-0.102630999999999,-0.0182504999999997,-0.0128399999999971,0.20188713,0.092328072,0.68568778,-0.000274658000000001,-0.000274658000000001,0.0031738281,0.0508729999999993,0.0309056999999999,0.0201299999999947,-0.06826973,-0.011010796,-0.18741035,-0.04421997,-0.056884766,-0.009094238,17.027222,-6.922636,72.54619,0.0606047262685854,0.0131204825376627,74.8513155642594,0.087379456,0.07058275,0.09066939,0.02027893,0.026763916,0.010269165,17.11023,-6.8736057,72.627594,0.211578165033535,0.0678046518857535,74.9202499768456,-0.00391156334285714,0.039157033,-0.0725449485714286,-0.016806466,-0.0271453858571429,0.000553676085714286,17.0639301428571,-6.88933805714286,72.5896611428571,0.122487228188314,0.0459313603113144,74.8859232149961,-0.0047044754,0.05489692,-0.09290099,-0.020614624,-0.037902832,0.0017547607,17.039764,-6.882064,72.59394,0.11371264358068,0.0534944397058972,74.8802568710869,0.0500676610543256,0.0357594361098141,0.0887995527492565,0.0254745814370126,0.0318449308941697,0.00732696640265568,0.0388381980805352,0.0166754286463504,0.033119070696647,0.0459760182463426,0.0210952283213664,0.0258169820916747,0.00250677068345083,0.00127873727089188,0.00788536056846798,0.000648954299390986,0.00101409962365445,5.36844366656451e-05,0.00150840563014289,0.000278069920539525,0.0010968728438095,0.00211379425378803,0.000445008657930578,0.000666516564321855,0.0465183932826595,0.0512770294700308,0.109643285478362,0.0289603840054701,0.0400761802343966,0.00680601121330164,17.0639680273792,6.88935535527404,72.5896676188254,0.129672451643979,0.0499111796350248,74.885927029464,0.0207727496512614,0.00299130460270726,5607.90320967013,0.0131741750915289,0.00178863851808221,3.86667116292729,0.0572655573887955,0.000517836587791892,2.65140650796708,0.047510431311092,-1.32048114111734,0.687707566029668,0.44846562163338,1.01342152494606,-0.4917797687118,1.86667848032208,-1.30864230787542,-0.387588514972824,0.572554014613824,-1.07556257927615,0.658443797472471,TRUE,32
349612936,349613403,"NONE",99,-0.10684776,-0.061577708,-0.29118395,-0.038238525,-0.023529053,0.0009613037,17.1109,-7.005072,72.53354,0.09939003,0.1274845,0.39450383,0.016662598,0.033172607,0.015655518,17.283203,-6.9123483,72.55586,-0.1039028137,-0.0971979833,-0.54840207,-0.015518189,-0.00038147,-0.015518189,-0.102630999999999,-0.0182504999999997,-0.0128399999999971,0.20188713,0.092328072,0.68568778,-0.000274658000000001,-0.000274658000000001,0.0031738281,0.0508729999999993,0.0309056999999999,0.0201299999999947,-0.2448883,-0.11509493,-0.37868118,-0.051483154,-0.056884766,-0.013809204,16.30011,-7.0077996,72.428055,0.0246772197135111,0.00302147144535901,74.5854109000688,0.09031582,0.14348105,0.29046965,0.042312622,0.070388794,0.016815186,17.11023,-6.6371026,72.63688,0.407485367970425,0.0761163055273112,74.9202499768456,-0.00415117082929293,-0.00675272195959596,-0.0139401272787879,0.000871292283737374,0.0023406058290404,0.000223333197222222,16.6242817878788,-6.7896835020202,72.5127281515151,0.143003277133402,0.0308548389783244,74.7034530063042,-0.0037937164,-0.008636117,0.0020561218,0.0048065186,-0.0035247803,0.00065612793,16.570038,-6.7705927,72.49779,0.125228657917484,0.0262621712629877,74.6723473663141,0.0476393330579279,0.0556628781802888,0.142344656799078,0.0234926464350662,0.0257676745430498,0.00677371991724566,0.203900842493044,0.087901974766067,0.058003665531843,0.0723259010992063,0.0175036225255299,0.0928534766350633,0.00226950605420418,0.00309835600731367,0.0202620013192474,0.000551904436523027,0.000663973051356536,4.58832815172906e-05,0.041575553569373,0.00772675716777428,0.00336442521512991,0.00523103596981217,0.000306376801516239,0.00862176812321824,0.0475795541160311,0.0557912066176282,0.142308333514956,0.0233899293388974,0.0257438281633661,0.00674312180997781,16.6255195576343,6.7902467382799,72.5127511160393,0.160087896149381,0.0354302578981262,74.703510130011,0.0384514939289889,0.00192147893688039,5580.63152147432,0.0288114728189088,0.0014621525549087,13.8836839666886,0.0572655573887955,0.000517836587791892,2.65140650796708,-0.0225100398986449,0.101507239760609,-0.3371306539739,-0.502526566405316,0.682877236660355,-0.191679640462797,0.798090687839703,-0.651548571155839,0.772614181096146,0.73727194320902,0.787151523972498,1.00499112528863,FALSE,467
349613404,349613479,"KEY_3",15,-0.2448883,-0.057430744,-0.37868118,-0.04864502,-0.030151367,-0.0019836426,16.30011,-6.8866425,72.53775,0.09031582,0.14348105,0.060866594,0.02999878,0.070388794,0.009567261,16.450226,-6.805197,72.603806,-0.252074236,-0.133067135,-0.17026567,-0.0216217046,-0.0015563963,-0.0216217046,-0.0751950000000008,-0.0278645000000006,-0.021025999999992,0.189410204,0.117960005,0.242676018,0.008377075,0.008377075,0.0029449463,0.0244749999999989,0.0324526000000001,0.0209150000000022,-0.07668877,-0.17446437,-0.09636831,-0.060134888,-0.044052124,-0.024490356,16.275482,-6.8679924,72.417725,0.0326713009045874,0.0293901752962301,74.5405713450705,0.10619259,0.058048457,0.4331975,0.07034302,0.040267944,0.008483887,16.534271,-6.5957932,72.53587,0.452483666542054,0.0726937413518362,74.6485067963364,-0.00117054011533333,-0.0262132720486667,0.144563595866667,0.00796203649333333,-0.00519612623733333,-0.01140136705,16.3968666666667,-6.71153957333333,72.4571736,0.200221948627728,0.059032607898774,74.5919547269576,-0.0041913986,-0.00038275123,0.1478684,0.016036987,-0.002960205,-0.014663696,16.381256,-6.707229,72.44407,0.148158273844983,0.0637790471352103,74.5958738570549,0.0432395445657229,0.0672402290129171,0.189616811433189,0.0534660048775746,0.0266472864880285,0.011098420302278,0.0969458249190656,0.0851016705528198,0.0380355333129434,0.150073991289019,0.0139365212799405,0.035522086550381,0.00186965821425114,0.00452124839770954,0.0359545351780895,0.00285861367756883,0.000710077877175064,0.000123174933206017,0.00939849296923811,0.00724229433088067,0.00144670179440003,0.0225222028614166,0.000194226625386234,0.00126181863289276,0.0417897654631211,0.0700497499592943,0.233358521198858,0.0522631175640981,0.0262628840743808,0.015651020465168,16.3971341523821,6.71204312554145,72.4571829176069,0.247203461510837,0.0605485505939177,74.5919626212227,0.0941750258433945,0.00392100420239075,5563.96324305061,0.0741708324149138,0.00143941466110735,5.29929105229401,0.0676487709357171,0.00232095802373085,3.20811649650964,0.209589984007004,-1.15245833623073,-0.0522865685013027,-0.453088866008777,-0.251724081362413,0.881836025618094,0.483073923390711,-0.151956123963194,1.0335282977785,1.04076011443873,-1.02172683005222,-0.33098816633826,TRUE,75
349613479,349613996,"NONE",118,-0.2448883,-0.057430744,-0.37868118,-0.04864502,-0.030151367,-0.0019836426,16.30011,-6.8866425,72.53775,0.09031582,0.14348105,0.060866594,0.02999878,0.070388794,0.009567261,16.450226,-6.805197,72.603806,-0.252074236,-0.133067135,-0.17026567,-0.0216217046,-0.0015563963,-0.0216217046,-0.0751950000000008,-0.0278645000000006,-0.021025999999992,0.189410204,0.117960005,0.242676018,0.008377075,0.008377075,0.0029449463,0.0244749999999989,0.0324526000000001,0.0209150000000022,-0.19364071,-0.18838441,-0.6172023,-0.06440735,-0.044052124,-0.028121948,16.275482,-7.064767,72.417725,0.0115015119104508,0.00763784300287775,74.5405713450705,0.10619259,0.1778085,0.4331975,0.07034302,0.059539795,0.016662598,16.954376,-6.5957932,72.680626,0.622809570766599,0.0726937413518362,74.9655600530373,-0.00152161159864407,-0.00755829453127119,0.0055918448661017,0.00138583429533898,-0.00359719489848305,-0.00240041440355932,16.6285596271186,-6.79983049915254,72.5158968898305,0.15250982714859,0.0349773766984632,74.7083180160008,-0.0030508041,0.000975429985,0.0096695421,0.004447937,-0.000801086415,-0.0020523071,16.5998685,-6.7790394,72.513965,0.14426424286845,0.0310078745958205,74.7006818941549,0.0453435111591231,0.0837562256310765,0.149531495741686,0.0324651884173079,0.0179334659521431,0.0108226606338747,0.151321343722771,0.11083392565644,0.0554800856111018,0.0898011712281338,0.0167228228602195,0.0849013607585127,0.00205603400423752,0.00701510533196379,0.022359668218746,0.00105398845897131,0.000321609201056676,0.00011712998319602,0.0228981490660649,0.0122841590764172,0.00307803989941519,0.00806425035394461,0.000279652804414281,0.00720824105864712,0.0451766011239179,0.0837423614606079,0.149001504133463,0.0323570222684496,0.0182160234543788,0.0110408036631668,16.6292422969177,6.80072605485903,72.5159179331776,0.176791279836261,0.0387388660920789,74.7083658497104,0.0562323321015565,0.00201980344271362,5581.35423748332,0.0469453639726058,0.00135761774094507,12.6924529147413,0.0676487709357171,0.00232095802373085,3.20811649650964,0.101173847961811,-0.305662932587003,-0.0818094652301707,-0.282958718609673,-0.467747030765501,-0.0964940088215704,0.568811902130776,-0.562763586042868,0.104463960855673,0.27546136093902,0.712111011846942,0.269823302395803,FALSE,517
