DownTime,EventTime,Keypress
1482277329537,1482277329618,KEYCODE_3
1482277330087,1482277330152,KEYCODE_9
1482277330603,1482277330668,KEYCODE_8
1482277331137,1482277331202,KEYCODE_2
1482277331670,1482277331761,KEYCODE_7
1482277332170,1482277332236,KEYCODE_5
1482277332688,1482277332753,KEYCODE_0
1482277333280,1482277333372,KEYCODE_4
1482277333831,1482277333879,KEYCODE_6
1482277334347,1482277334463,KEYCODE_1
1482277334965,1482277335038,KEYCODE_2
1482277335481,1482277335547,KEYCODE_5
1482277336049,1482277336122,KEYCODE_7
1482277336557,1482277336606,KEYCODE_8
1482277337048,1482277337097,KEYCODE_6
1482277337557,1482277337623,KEYCODE_0
1482277338083,1482277338131,KEYCODE_9
1482277338608,1482277338657,KEYCODE_3
1482277339142,1482277339216,KEYCODE_1
1482277339609,1482277339693,KEYCODE_4
1482277340185,1482277340235,KEYCODE_1
1482277340969,1482277341027,KEYCODE_9
1482277341538,1482277341611,KEYCODE_0
1482277342063,1482277342120,KEYCODE_6
1482277342648,1482277342729,KEYCODE_2
1482277343206,1482277343280,KEYCODE_3
1482277343775,1482277343856,KEYCODE_7
1482277344317,1482277344374,KEYCODE_4
1482277344842,1482277344883,KEYCODE_8
1482277345352,1482277345417,KEYCODE_5
1482277346028,1482277346068,KEYCODE_5
1482277346562,1482277346611,KEYCODE_0
1482277347089,1482277347145,KEYCODE_3
1482277347638,1482277347704,KEYCODE_1
1482277348138,1482277348204,KEYCODE_9
1482277348639,1482277348688,KEYCODE_6
1482277349231,1482277349288,KEYCODE_8
1482277349807,1482277349839,KEYCODE_2
1482277350282,1482277350356,KEYCODE_4
1482277350849,1482277350907,KEYCODE_7
1482277351367,1482277351424,KEYCODE_9
1482277351917,1482277351974,KEYCODE_0
1482277352478,1482277352541,KEYCODE_7
1482277353043,1482277353084,KEYCODE_3
1482277353552,1482277353609,KEYCODE_8
1482277354094,1482277354168,KEYCODE_2
1482277354636,1482277354718,KEYCODE_1
1482277355128,1482277355210,KEYCODE_4
1482277355620,1482277355677,KEYCODE_6
1482277356221,1482277356303,KEYCODE_5
1482277356721,1482277356820,KEYCODE_3
1482277357281,1482277357363,KEYCODE_7
1482277357798,1482277357863,KEYCODE_6
1482277358365,1482277358422,KEYCODE_5
1482277358940,1482277359014,KEYCODE_0
1482277359450,1482277359515,KEYCODE_8
1482277360017,1482277360083,KEYCODE_1
1482277360518,1482277360608,KEYCODE_4
1482277361159,1482277361233,KEYCODE_2
1482277361794,1482277361867,KEYCODE_9
1482277362387,1482277362452,KEYCODE_3
1482277362971,1482277363044,KEYCODE_8
1482277363504,1482277363545,KEYCODE_5
1482277364005,1482277364087,KEYCODE_4
1482277364564,1482277364663,KEYCODE_7
1482277365130,1482277365213,KEYCODE_1
1482277365656,1482277365714,KEYCODE_9
1482277366149,1482277366189,KEYCODE_6
1482277366675,1482277366750,KEYCODE_0
1482277367276,1482277367342,KEYCODE_2
1482277367785,1482277367859,KEYCODE_6
1482277368345,1482277368410,KEYCODE_1
1482277368971,1482277369003,KEYCODE_5
1482277369438,1482277369512,KEYCODE_9
1482277369997,1482277370054,KEYCODE_3
1482277370497,1482277370605,KEYCODE_7
1482277371082,1482277371147,KEYCODE_8
1482277371599,1482277371681,KEYCODE_4
1482277372191,1482277372248,KEYCODE_2
1482277372767,1482277372815,KEYCODE_0
1482277373276,1482277373341,KEYCODE_3
1482277373776,1482277373818,KEYCODE_6
1482277374353,1482277374418,KEYCODE_2
1482277374913,1482277374995,KEYCODE_1
1482277375538,1482277375605,KEYCODE_0
1482277376023,1482277376096,KEYCODE_4
1482277376565,1482277376623,KEYCODE_5
1482277377090,1482277377148,KEYCODE_8
1482277377583,1482277377632,KEYCODE_9
1482277378109,1482277378184,KEYCODE_7
1482277378635,1482277378684,KEYCODE_3
1482277379102,1482277379168,KEYCODE_6
1482277379611,1482277379702,KEYCODE_7
1482277380138,1482277380220,KEYCODE_8
1482277380680,1482277380763,KEYCODE_4
1482277381290,1482277381347,KEYCODE_5
1482277381824,1482277381907,KEYCODE_1
1482277382400,1482277382458,KEYCODE_0
1482277383027,1482277383067,KEYCODE_2
1482277383628,1482277383635,KEYCODE_9
1482277384079,1482277384170,KEYCODE_4
1482277384722,1482277384796,KEYCODE_2
1482277385256,1482277385338,KEYCODE_7
1482277385832,1482277385922,KEYCODE_1
1482277386432,1482277386514,KEYCODE_0
1482277386932,1482277386989,KEYCODE_9
1482277387459,1482277387482,KEYCODE_6
1482277387984,1482277388041,KEYCODE_3
1482277388552,1482277388633,KEYCODE_5
1482277389093,1482277389142,KEYCODE_8
1482277389737,1482277389793,KEYCODE_8
1482277390288,1482277390361,KEYCODE_0
1482277390823,1482277390913,KEYCODE_1
1482277391414,1482277391497,KEYCODE_9
1482277391958,1482277392032,KEYCODE_4
1482277392583,1482277392657,KEYCODE_2
1482277393177,1482277393233,KEYCODE_6
1482277393761,1482277393827,KEYCODE_5
1482277394321,1482277394386,KEYCODE_3
1482277394805,1482277394887,KEYCODE_7
1482277395390,1482277395455,KEYCODE_8
1482277395983,1482277396056,KEYCODE_2
1482277396533,1482277396600,KEYCODE_5
1482277397201,1482277397284,KEYCODE_9
1482277397794,1482277397842,KEYCODE_0
1482277398294,1482277398385,KEYCODE_4
1482277398812,1482277398877,KEYCODE_6
1482277399362,1482277399420,KEYCODE_3
1482277399872,1482277399920,KEYCODE_7
1482277400397,1482277400472,KEYCODE_1
1482277400965,1482277401039,KEYCODE_0
1482277401507,1482277401573,KEYCODE_1
1482277401974,1482277402049,KEYCODE_9
1482277402483,1482277402558,KEYCODE_4
1482277403085,1482277403133,KEYCODE_5
1482277403560,1482277403626,KEYCODE_3
1482277404086,1482277404160,KEYCODE_2
1482277404578,1482277404669,KEYCODE_7
1482277405104,1482277405170,KEYCODE_8
1482277405605,1482277405645,KEYCODE_6
1482277406131,1482277406196,KEYCODE_0
1482277406581,1482277406671,KEYCODE_4
1482277407140,1482277407222,KEYCODE_1
1482277407733,1482277407773,KEYCODE_2
1482277408208,1482277408299,KEYCODE_7
1482277408734,1482277408742,KEYCODE_3
1482277409319,1482277409385,KEYCODE_6
1482277409804,1482277409870,KEYCODE_8
1482277410338,1482277410379,KEYCODE_9
1482277410831,1482277410896,KEYCODE_5
1482277411390,1482277411447,KEYCODE_5
1482277411933,1482277412007,KEYCODE_2
1482277412482,1482277412548,KEYCODE_0
1482277412992,1482277413083,KEYCODE_1
1482277413476,1482277413542,KEYCODE_4
1482277413960,1482277414009,KEYCODE_8
1482277414435,1482277414534,KEYCODE_7
1482277414961,1482277415018,KEYCODE_3
1482277415437,1482277415511,KEYCODE_9
1482277415972,1482277416029,KEYCODE_6
1482277416472,1482277416520,KEYCODE_8
1482277416981,1482277417021,KEYCODE_4
1482277417465,1482277417538,KEYCODE_3
1482277417991,1482277418072,KEYCODE_1
1482277418508,1482277418607,KEYCODE_7
1482277419126,1482277419183,KEYCODE_0
1482277419601,1482277419641,KEYCODE_9
1482277420069,1482277420135,KEYCODE_6
1482277420636,1482277420702,KEYCODE_5
1482277421186,1482277421244,KEYCODE_2
1482277421712,1482277421787,KEYCODE_5
1482277422246,1482277422295,KEYCODE_3
1482277422723,1482277422822,KEYCODE_7
1482277423307,1482277423372,KEYCODE_2
1482277423841,1482277423923,KEYCODE_0
1482277424350,1482277424407,KEYCODE_9
