DownTime,EventTime,Keypress
349447700000000,349447782000000,KEYCODE_6
349448291000000,349448365000000,KEYCODE_4
349448915000000,349449006000000,KEYCODE_3
349449581000000,349449647000000,KEYCODE_2
349450231000000,349450297000000,KEYCODE_9
349450864000000,349450938000000,KEYCODE_8
349451522000000,349451630000000,KEYCODE_0
349452247000000,349452338000000,KEYCODE_1
349452880000000,349452946000000,KEYCODE_5
349453514000000,349453605000000,KEYCODE_7
349454138000000,349454196000000,KEYCODE_2
349454738000000,349454804000000,KEYCODE_8
349455388000000,349455487000000,KEYCODE_4
349456154000000,349456245000000,KEYCODE_0
349456804000000,349456903000000,KEYCODE_1
349457453000000,349457511000000,KEYCODE_5
349458095000000,349458169000000,KEYCODE_9
349458744000000,349458810000000,KEYCODE_6
349459344000000,349459435000000,KEYCODE_7
349460045000000,349460078000000,KEYCODE_3
349460645000000,349460728000000,KEYCODE_4
349461220000000,349461311000000,KEYCODE_1
349461762000000,349461836000000,KEYCODE_8
349462303000000,349462369000000,KEYCODE_6
349462944000000,349463035000000,KEYCODE_9
349463619000000,349463710000000,KEYCODE_0
349464244000000,349464285000000,KEYCODE_2
349464836000000,349464927000000,KEYCODE_7
349465494000000,349465551000000,KEYCODE_3
349466102000000,349466151000000,KEYCODE_5
349466668000000,349466734000000,KEYCODE_8
349467252000000,349467334000000,KEYCODE_9
349467918000000,349468026000000,KEYCODE_0
349468610000000,349468684000000,KEYCODE_2
349469210000000,349469284000000,KEYCODE_3
349469826000000,349469892000000,KEYCODE_5
349470401000000,349470500000000,KEYCODE_7
349471059000000,349471142000000,KEYCODE_1
349471576000000,349471667000000,KEYCODE_6
349472243000000,349472317000000,KEYCODE_4
349472901000000,349472983000000,KEYCODE_0
349473542000000,349473608000000,KEYCODE_5
349474076000000,349474167000000,KEYCODE_3
349474734000000,349474833000000,KEYCODE_7
349475375000000,349475433000000,KEYCODE_4
349475958000000,349476016000000,KEYCODE_6
349476517000000,349476599000000,KEYCODE_9
349477108000000,349477183000000,KEYCODE_8
349477700000000,349477766000000,KEYCODE_2
349478308000000,349478391000000,KEYCODE_1
349478958000000,349479024000000,KEYCODE_2
349479608000000,349479683000000,KEYCODE_9
349480266000000,349480349000000,KEYCODE_0
349480849000000,349480957000000,KEYCODE_4
349481458000000,349481549000000,KEYCODE_1
349482116000000,349482174000000,KEYCODE_8
349482666000000,349482774000000,KEYCODE_7
349483308000000,349483374000000,KEYCODE_3
349483924000000,349483982000000,KEYCODE_5
349484524000000,349484598000000,KEYCODE_6
349485165000000,349485240000000,KEYCODE_0
349485765000000,349485840000000,KEYCODE_5
349486374000000,349486423000000,KEYCODE_2
349487032000000,349487131000000,KEYCODE_8
349487607000000,349487664000000,KEYCODE_9
349488157000000,349488223000000,KEYCODE_4
349488790000000,349488865000000,KEYCODE_7
349489357000000,349489423000000,KEYCODE_6
349489965000000,349490015000000,KEYCODE_3
349490565000000,349490631000000,KEYCODE_1
349491140000000,349491215000000,KEYCODE_6
349491715000000,349491806000000,KEYCODE_4
349492365000000,349492431000000,KEYCODE_1
349492957000000,349493031000000,KEYCODE_8
349493540000000,349493598000000,KEYCODE_5
349494373000000,349494448000000,KEYCODE_0
349494982000000,349495048000000,KEYCODE_3
349495565000000,349495656000000,KEYCODE_7
349496182000000,349496231000000,KEYCODE_2
349496840000000,349496889000000,KEYCODE_9
349497598000000,349497664000000,KEYCODE_9
349498190000000,349498248000000,KEYCODE_2
349498856000000,349498964000000,KEYCODE_0
349499456000000,349499514000000,KEYCODE_3
349499990000000,349500056000000,KEYCODE_7
349500531000000,349500597000000,KEYCODE_6
349501181000000,349501214000000,KEYCODE_5
349501815000000,349501839000000,KEYCODE_8
349502498000000,349502564000000,KEYCODE_4
349503106000000,349503197000000,KEYCODE_1
349503840000000,349503914000000,KEYCODE_1
349504431000000,349504497000000,KEYCODE_9
349505115000000,349505189000000,KEYCODE_4
349505673000000,349505764000000,KEYCODE_8
349506257000000,349506331000000,KEYCODE_2
349506948000000,349507031000000,KEYCODE_0
349507557000000,349507615000000,KEYCODE_5
349508149000000,349508248000000,KEYCODE_7
349508749000000,349508798000000,KEYCODE_6
349509324000000,349509398000000,KEYCODE_3
349509899000000,349509948000000,KEYCODE_8
349510407000000,349510465000000,KEYCODE_5
349510966000000,349511032000000,KEYCODE_3
349511516000000,349511590000000,KEYCODE_9
349512157000000,349512240000000,KEYCODE_2
349512866000000,349512940000000,KEYCODE_0
349513391000000,349513440000000,KEYCODE_6
349513908000000,349513982000000,KEYCODE_7
349514458000000,349514516000000,KEYCODE_4
349515051000000,349515133000000,KEYCODE_1
349515617000000,349515683000000,KEYCODE_3
349516234000000,349516283000000,KEYCODE_2
349516834000000,349516908000000,KEYCODE_1
349517526000000,349517625000000,KEYCODE_0
349518052000000,349518117000000,KEYCODE_5
349518593000000,349518684000000,KEYCODE_4
349519176000000,349519242000000,KEYCODE_8
349519768000000,349519809000000,KEYCODE_9
349520335000000,349520426000000,KEYCODE_7
349520927000000,349520968000000,KEYCODE_6
349521485000000,349521551000000,KEYCODE_3
349522035000000,349522093000000,KEYCODE_5
349522660000000,349522760000000,KEYCODE_7
349523244000000,349523310000000,KEYCODE_8
349523861000000,349523944000000,KEYCODE_9
349524595000000,349524645000000,KEYCODE_4
349525271000000,349525354000000,KEYCODE_0
349525871000000,349525921000000,KEYCODE_1
349526455000000,349526521000000,KEYCODE_2
349527038000000,349527079000000,KEYCODE_6
349527572000000,349527629000000,KEYCODE_7
349528188000000,349528246000000,KEYCODE_8
349528697000000,349528788000000,KEYCODE_9
349529255000000,349529313000000,KEYCODE_6
349529980000000,349530055000000,KEYCODE_0
349530522000000,349530588000000,KEYCODE_5
349531030000000,349531155000000,KEYCODE_4
349531656000000,349531730000000,KEYCODE_2
349532231000000,349532288000000,KEYCODE_3
349532856000000,349532914000000,KEYCODE_1
349533481000000,349533522000000,KEYCODE_1
349534123000000,349534205000000,KEYCODE_0
349534732000000,349534806000000,KEYCODE_5
349535323000000,349535373000000,KEYCODE_2
349535965000000,349535998000000,KEYCODE_6
349536490000000,349536556000000,KEYCODE_4
349537123000000,349537173000000,KEYCODE_7
349537732000000,349537798000000,KEYCODE_9
349538949000000,349538990000000,KEYCODE_8
349539524000000,349539590000000,KEYCODE_3
349540157000000,349540223000000,KEYCODE_1
349540707000000,349540790000000,KEYCODE_8
349541240000000,349541323000000,KEYCODE_9
349541857000000,349541923000000,KEYCODE_4
349542416000000,349542490000000,KEYCODE_6
349543008000000,349543057000000,KEYCODE_5
349543567000000,349543674000000,KEYCODE_7
349544192000000,349544241000000,KEYCODE_3
349544834000000,349544942000000,KEYCODE_0
349545467000000,349545533000000,KEYCODE_2
349546026000000,349546134000000,KEYCODE_1
349546618000000,349546717000000,KEYCODE_7
349547218000000,349547301000000,KEYCODE_2
349547768000000,349547843000000,KEYCODE_3
349548460000000,349548576000000,KEYCODE_0
349549102000000,349549160000000,KEYCODE_8
349549677000000,349549718000000,KEYCODE_6
349550227000000,349550285000000,KEYCODE_9
349550777000000,349550877000000,KEYCODE_4
349551344000000,349551410000000,KEYCODE_5
349551936000000,349551994000000,KEYCODE_4
349552486000000,349552569000000,KEYCODE_9
349553036000000,349553111000000,KEYCODE_5
349553945000000,349554011000000,KEYCODE_0
349554504000000,349554562000000,KEYCODE_2
349555063000000,349555121000000,KEYCODE_3
349555697000000,349555772000000,KEYCODE_8
349556272000000,349556322000000,KEYCODE_6
349556864000000,349556955000000,KEYCODE_7
349557473000000,349557564000000,KEYCODE_1
349558148000000,349558214000000,KEYCODE_7
349558765000000,349558831000000,KEYCODE_8
349559340000000,349559373000000,KEYCODE_9
349559824000000,349559890000000,KEYCODE_6
349560450000000,349560549000000,KEYCODE_0
349561067000000,349561133000000,KEYCODE_2
349561626000000,349561692000000,KEYCODE_3
349562185000000,349562243000000,KEYCODE_1
349562719000000,349562785000000,KEYCODE_5
349563428000000,349563511000000,KEYCODE_4
349563971000000,349564053000000,KEYCODE_3
349564538000000,349564604000000,KEYCODE_6
349565063000000,349565130000000,KEYCODE_8
349565597000000,349565664000000,KEYCODE_9
349566207000000,349566306000000,KEYCODE_1
349566790000000,349566898000000,KEYCODE_7
349567424000000,349567515000000,KEYCODE_0
349567941000000,349568007000000,KEYCODE_5
349568508000000,349568574000000,KEYCODE_2
349569024000000,349569116000000,KEYCODE_4
349569683000000,349569741000000,KEYCODE_4
349570208000000,349570266000000,KEYCODE_3
349570775000000,349570816000000,KEYCODE_2
349571334000000,349571425000000,KEYCODE_9
349571917000000,349571967000000,KEYCODE_5
349572476000000,349572567000000,KEYCODE_0
349573059000000,349573150000000,KEYCODE_7
349573626000000,349573692000000,KEYCODE_8
349574210000000,349574292000000,KEYCODE_1
349574735000000,349574784000000,KEYCODE_6
349575268000000,349575309000000,KEYCODE_9
349575785000000,349575818000000,KEYCODE_8
349576352000000,349576402000000,KEYCODE_3
349576894000000,349576943000000,KEYCODE_2
349577436000000,349577510000000,KEYCODE_4
349577936000000,349577994000000,KEYCODE_6
349578503000000,349578595000000,KEYCODE_0
349579087000000,349579212000000,KEYCODE_7
349579696000000,349579771000000,KEYCODE_1
349580247000000,349580305000000,KEYCODE_5
349580823000000,349580897000000,KEYCODE_0
349581365000000,349581431000000,KEYCODE_8
349582008000000,349582099000000,KEYCODE_7
349582642000000,349582733000000,KEYCODE_1
349583217000000,349583266000000,KEYCODE_6
349583784000000,349583825000000,KEYCODE_2
349584342000000,349584383000000,KEYCODE_3
349584859000000,349584908000000,KEYCODE_5
349585376000000,349585459000000,KEYCODE_4
349585918000000,349585942000000,KEYCODE_9
349586418000000,349586534000000,KEYCODE_4
349587002000000,349587109000000,KEYCODE_0
349587594000000,349587635000000,KEYCODE_6
349588160000000,349588235000000,KEYCODE_1
349588727000000,349588785000000,KEYCODE_8
349589261000000,349589343000000,KEYCODE_9
349589928000000,349590010000000,KEYCODE_7
349590544000000,349590594000000,KEYCODE_5
349591136000000,349591185000000,KEYCODE_3
349591728000000,349591803000000,KEYCODE_2
349592312000000,349592370000000,KEYCODE_9
349592838000000,349592904000000,KEYCODE_6
349593414000000,349593505000000,KEYCODE_1
349593989000000,349594089000000,KEYCODE_7
