id,Timestamp,x,y,z,a,b,c,alpha,beta,gamma
1,349745366963227,0.042217255,-0.043152004,-0.027476788,1.6784668E-4,-0.006591797,7.6293945E-5,13.575165,-6.643635,72.90875
2,349745533711273,0.013429642,0.0090480745,0.041212797,0.00340271,-0.0024719238,-8.087158E-4,13.582092,-6.6462483,72.9071
3,349745538746674,-0.022015572,-0.052351832,0.029015064,0.008331299,-8.69751E-4,-0.0018615723,13.57605,-6.635589,72.905266
4,349745543782074,-0.009987831,-0.056681007,-0.023044825,0.011932373,1.9836426E-4,-0.0029296875,13.563904,-6.6275463,72.9071
5,349745548817475,-0.04043579,-0.065760046,-0.04155302,0.012496948,-4.5776367E-4,-0.003967285,13.550232,-6.6198153,72.90956
6,349745553852875,0.014146805,-0.044141024,0.024822712,0.012496948,2.2888184E-4,-0.004196167,13.546478,-6.6151886,72.90842
7,349745558888275,-0.021300316,-0.04398033,-0.050719023,0.012496948,-5.493164E-4,-0.004196167,13.536682,-6.613408,72.911674
8,349745563923676,-0.0069236755,-0.06738073,-0.038363695,0.012496948,0.0012054443,-0.005126953,13.523285,-6.606273,72.91436
9,349745568959076,-0.0020885468,-0.031693637,0.03490305,0.012496948,0.004333496,-0.0043029785,13.514587,-6.6054134,72.91122
10,349745573994477,-0.0325737,-0.029294997,-0.015154362,0.009597778,0.006591797,-0.0032196045,13.511169,-6.6048775,72.91002
11,349745579029877,0.024392128,-0.010399431,-0.010615826,0.009292603,0.0077056885,-0.0022125244,13.508881,-6.607351,72.908936
12,349745584065277,-0.004016876,-0.015174627,0.0362432,0.006362915,0.008834839,-0.0020599365,13.510498,-6.6058817,72.90438
13,349745589100678,0.0338068,-0.010446668,-0.0068793297,0.0021209717,0.006958008,-0.0020599365,13.521881,-6.6059,72.90325
14,349745594136078,0.03586769,0.010786086,0.009444237,-0.0012054443,0.0037841797,-0.0010528564,13.524506,-6.608975,72.90175
15,349745599171478,1.9645691E-4,0.041263968,0.04454708,-0.0024108887,0.0015716553,-9.918213E-4,13.537476,-6.6170464,72.89794
16,349745604206879,0.03319359,0.007836193,0.081661224,-0.001449585,0.0024719238,-9.918213E-4,13.546234,-6.6168404,72.8929
