Timestamp,x,y,z,a,b,c,alpha,beta,gamma
1482277608988,-0.002781868,0.0125645995,-0.11758661,0.023269653,-8.8500977E-4,0.006011963,167.83643,11.5392885,-71.38807
1482277608993,-0.021647453,0.014268458,-0.06952381,0.018966675,-0.0016326904,0.005279541,167.823,11.528793,-71.39163
1482277608998,0.0068531036,0.07272035,-0.10446358,0.013153076,-0.0012207031,0.0049438477,167.80243,11.512581,-71.39684
1482277609003,0.013903618,0.015122712,-0.14135432,0.0059051514,0.0013885498,0.0049438477,167.76245,11.508527,-71.40371
1482277609009,-0.038074493,0.019491434,-0.14237404,-5.493164E-4,0.0037384033,0.0042419434,167.75336,11.506451,-71.41227
1482277609013,0.0048217773,0.007421434,-0.11733365,-0.0072021484,0.0059661865,0.004638672,167.74908,11.50796,-71.41927
1482277609018,1.9073486E-4,0.0498088,-0.10180664,-0.013824463,0.008163452,0.0049438477,167.7392,11.504246,-71.4268
1482277609023,-0.013835907,0.049441695,-0.067481756,-0.019515991,0.0079193115,0.0049438477,167.70856,11.501301,-71.43313
1482277609028,-0.008882523,-0.021707416,-0.092516184,-0.022445679,0.0060272217,0.0057678223,167.71234,11.510249,-71.439445
1482277609033,-0.034689903,-0.037964463,-0.020652294,-0.024612427,0.0038604736,0.006011963,167.71912,11.519225,-71.44217
1482277609039,-0.046135902,-0.016327977,0.069443464,-0.02432251,0.002609253,0.006790161,167.72278,11.521751,-71.44083
1482277609043,-0.007929802,-0.0020388365,0.0029306412,-0.021530151,0.002319336,0.0079193115,167.71118,11.522381,-71.441795
1482277609048,-0.024316788,0.0025667548,0.080994606,-0.018218994,0.0031738281,0.009887695,167.70819,11.517784,-71.43983
1482277609053,-0.019321442,-2.1219254E-5,0.021482468,-0.012374878,0.0025024414,0.008544922,167.70386,11.514033,-71.44048
1482277609058,-0.026221275,-0.019182444,0.03311515,-0.0059051514,-0.002105713,0.009033203,167.70148,11.510909,-71.43959
1482277609063,0.00935936,-0.038215876,0.072766304,-0.0012054443,-0.005722046,0.0065307617,167.69208,11.508092,-71.43491
1482277609068,-0.0049905777,-0.08543247,0.01983118,0.0053710938,-0.008758545,0.0051727295,167.70001,11.513054,-71.431274
1482277609073,-0.014530182,-0.04729432,0.0144536495,0.011505127,-0.012176514,0.0049438477,167.70154,11.51173,-71.427826
1482277609078,-0.00754261,-0.04733652,0.07260513,0.015106201,-0.017333984,0.0049438477,167.70203,11.505989,-71.42019
1482277609083,-0.0077724457,-0.052109778,0.10643005,0.01927185,-0.021759033,0.0030670166,167.6792,11.498871,-71.409546
1482277609088,-0.026928902,0.009280324,0.10443902,0.02168274,-0.023208618,0.0018615723,167.67151,11.4825945,-71.399055
1482277609093,-0.010504723,0.011186123,0.17805028,0.020935059,-0.02041626,7.7819824E-4,167.66492,11.464709,-71.38521
1482277609099,-0.02956295,0.025006235,0.12615514,0.016281128,-0.012832642,-0.0020446777,167.65765,11.44945,-71.37532
1482277609103,-0.04831314,-0.013012648,0.09407234,0.012527466,-0.0036621094,-0.004501343,167.63367,11.446524,-71.369606
1482277609108,-0.029061317,0.0012945533,0.069588184,0.0039520264,-8.392334E-4,-0.0046081543,167.63434,11.444493,-71.366264
1482277609113,-0.009953499,-0.010418355,0.094941616,6.5612793E-4,-0.0019226074,-0.0046691895,167.63849,11.444873,-71.361664
1482277609118,-0.0169878,-0.06680453,0.08935952,5.493164E-4,0.001159668,-0.003616333,167.65308,11.455214,-71.35658
1482277609123,-0.035749435,-0.02357775,0.1546948,-4.4250488E-4,0.0051574707,-0.005554199,167.63525,11.457253,-71.34953
1482277609128,-0.049575806,0.0028150082,0.059152603,-0.0026550293,0.009796143,-0.0057373047,167.63873,11.4598055,-71.34838
1482277609133,-0.015285492,0.0033717155,0.114085436,-0.002670288,0.013000488,-0.0057373047,167.64764,11.470463,-71.35058
1482277609143,-0.01734066,0.034368396,-0.004283905,-0.003753662,0.013015747,-0.0068206787,167.6507,11.473762,-71.35466
1482277609148,-0.019374847,-0.0056470037,-0.07443333,-0.0047302246,0.0140686035,-0.007904053,167.65771,11.486453,-71.361664
1482277609153,-0.05443573,0.060937047,-0.02594781,-0.0025787354,0.0140686035,-0.00894165,167.65479,11.48846,-71.367714
1482277609158,-0.049061775,-0.0146404505,0.033982754,-5.79834E-4,0.0140686035,-0.00894165,167.66473,11.500673,-71.37049
1482277609163,-0.017792702,0.035399616,0.029574394,-0.0013122559,0.01399231,-0.006729126,167.65955,11.502901,-71.372955
1482277609168,-0.0481472,-0.037793934,0.008700848,0.0029296875,0.012908936,-0.0054779053,167.6695,11.515648,-71.37638
1482277609173,-0.04757023,0.0098570585,-0.054546356,0.006072998,0.0118255615,-0.002532959,167.66864,11.520177,-71.38297
1482277609178,-0.07061577,-0.042146742,-0.025265694,0.008331299,0.010650635,-0.0022125244,167.67383,11.529344,-71.38788
1482277609183,-0.039196014,-0.03717792,-0.07184839,0.011444092,0.008285522,6.713867E-4,167.6712,11.536841,-71.394104
1482277609188,-0.026956558,-0.022941649,-0.026111841,0.013320923,0.00440979,7.171631E-4,167.66943,11.537881,-71.39755
1482277609193,-0.033756256,-0.0064543486,-0.05645418,0.012008667,0.0033874512,0.002029419,167.6651,11.536943,-71.40165
1482277609198,-0.009810448,0.06175798,-0.015734434,0.00970459,0.0030822754,0.0037384033,167.64917,11.523161,-71.404205
