"DownTime","EventTime","Keypress","WindowSize","XminA","YminA","ZminA","XminG","YminG","ZminG","XminO","YminO","ZminO","XmaxA","YmaxA","ZmaxA","XmaxG","YmaxG","ZmaxG","XmaxO","YmaxO","ZmaxO","XmeanA","YmeanA","ZmeanA","XmeanG","YmeanG","ZmeanG","XmeanO","YmeanO","ZmeanO","XmedianA","YmedianA","ZmedianA","XmedianG","YmedianG","ZmedianG","XmedianO","YmedianO","ZmedianO","XsdA","YsdA","ZsdA","XsdG","YsdG","ZsdG","XsdO","YsdO","ZsdO","XvarA","YvarA","ZvarA","XvarG","YvarG","ZvarG","XvarO","YvarO","ZvarO","XskewA","YskewA","ZskewA","XskewG","YskewG","ZskewG","XskewO","YskewO","ZskewO","XrmsA","YrmsA","ZrmsA","XrmsG","YrmsG","ZrmsG","MagnRmsA","MagnRmsG","MagnRmsO","TotalTime"
1482277334965,1482277335038,"KEYCODE_2",14,-0.19390488,-0.09430766,-0.81731296,-0.043670654,-0.13432312,-0.019454956,164.94159,8.647221,-71.45827,0.17027855,0.17585102,0.75835395,0.087265015,0.07258606,0.015045166,165.09094,9.058923,-71.21009,0.0381709498857143,0.0463524546428571,-0.00798930357142856,0.0392161779785714,0.00385175401428572,0.00342559814285714,165.006997142857,8.80348078571429,-71.2988835714286,0.0515441895,0.0613418835,0.043051005,0.046379089,0.0225753785,0.0067214965,164.98425,8.765912,-71.27446,0.104580608811861,0.0894316024532409,0.544913881010928,0.041939908023084,0.0671459102687237,0.0113064668562831,0.058021408307433,0.141192377400034,0.0853000384035577,0.0109371037394594,0.00799801151735453,0.296931137718391,0.00175895588498474,0.00450857326581549,0.000127836192772228,165.007006615245,8.80453208766791,71.2989309520661,-0.383624835413151,-0.502823222863977,-0.281000229669714,-0.512369580125407,-0.836549437372168,-0.874516787349348,1.17614223029193,0.798246755372134,-0.858976334091033,0.107763182297858,0.0978533342907576,0.52515292983098,0.056313628849164,0.0648179629982601,0.011421022667957,0.544953005497578,0.086620048950501,179.967690356669,73
1482277335481,1482277335547,"KEYCODE_5",13,-0.20303345,-0.19630125,-0.37816882,-0.011627197,-0.15789795,-0.034576416,164.83075,8.536652,-71.70629,0.15685463,0.21113536,0.78916526,0.114593506,-0.009475708,0.016693115,165.01477,9.059687,-71.33009,0.0231528644923077,0.0106576869230769,0.181483819230769,0.0605363113846154,-0.0728125937692308,-2.69964076923078e-05,164.925595384615,8.75646026923077,-71.4314582307692,0.027007103,0.025037646,0.18838573,0.058120728,-0.067337036,0.0045318604,164.9112,8.699109,-71.365166,0.108818553553221,0.139909437588774,0.43308151657937,0.0434070767690869,0.0563477064108083,0.0168909810052138,0.0765946728582117,0.202621832139396,0.127928944970867,0.0118414775974152,0.019574650726407,0.187559600002687,0.0018841743136374,0.00317506401775864,0.000285305239318494,164.92561180249,8.75862397468186,71.4315639747601,-0.106256838981248,-0.308341438392222,-0.0478102424486583,0.16694858749408,-0.29152337076388,-0.80969663152515,0.563827120536854,0.849137557762991,-1.5545871370467,0.107082444123701,0.134842480893031,0.453947480559817,0.073511106807258,0.0907331369207961,0.0162283520806602,0.485507424865469,0.117897177111116,179.943433484626,66
1482277336049,1482277336122,"KEYCODE_7",15,-0.16398811,-0.23962322,-0.20365143,-0.060333252,-0.088653564,-0.00680542,164.36157,8.046201,-71.509964,0.12649632,0.03152415,0.32839227,0.0683136,0.03161621,0.029312134,164.51727,8.253787,-71.4379,-0.0124202724666667,-0.0871048989333333,0.0619680080666667,-0.0159800209066667,-0.009193929074,0.00708618168,164.446813333333,8.147344,-71.4784642666667,0.0051651,-0.07262102,0.0295403,-0.024307251,-0.0050201416,0.005218506,164.45178,8.136613,-71.48071,0.0883318053395181,0.0776060254013931,0.169860873783007,0.0419841522712476,0.0345716604567278,0.0114847921005154,0.0533158949318205,0.0805471355516226,0.0218735594544991,0.00780250783453851,0.00602269517860168,0.0288527164423266,0.00176266904193531,0.00119519970673528,0.000131900449592062,164.446821400011,8.14771560455108,71.478467390375,-0.597249396151511,-0.559900298659284,0.572722381755064,0.595026669077428,-0.362185739897353,0.487864907867904,-0.279466377130538,0.399679017503571,0.308006569028339,0.0862357455682707,0.114928001744053,0.175411618875685,0.0435949405395908,0.0346417098034147,0.0131651455399434,0.226747183963077,0.0572178989114626,179.494606154661,73
1482277336557,1482277336606,"KEYCODE_8",10,-0.19864178,-0.009798974,-0.44449806,0.0019683838,-0.0602417,-0.007461548,165.12927,9.068514,-71.48669,0.20287895,0.17661601,0.67809963,0.039352417,0.02760315,0.01109314,165.3186,9.362441,-71.37596,0.0390330313,0.1077275206,0.105985905,0.02494659388,0.0026550292,0.00413360603,165.207397,9.176525,-71.4185693,0.042436125,0.11003554,0.05345261,0.027175903,0.0199279785,0.0057449342,165.2023,9.1527705,-71.40767,0.108113351338211,0.0505615882381478,0.413471335084628,0.012420552961952,0.0320706579771423,0.00656169516656823,0.0634046969956642,0.102395074575554,0.0373913618546345,0.0116884967375794,0.002556474205164,0.170958544936665,0.000154270135880656,0.00102852710308684,4.30558434589649e-05,165.207407950296,9.17703913862159,71.4185781093509,-0.09443127026987,-0.136943051855636,0.381162783552439,-0.538456490664077,-1.6157712740703,-0.7366975129581,0.241165098558308,0.695966093050882,-0.874477376008269,0.109741626542932,0.117923896981363,0.406319704791273,0.0275894122537296,0.030540523453782,0.00747241312591326,0.437086916502,0.0418298481859733,180.217421433581,49
1482277337048,1482277337097,"KEYCODE_6",10,-0.04479313,-0.05019307,-0.4988613,-0.023498535,-0.07937622,-0.017410278,164.8388,8.673634,-71.475975,0.1806612,0.12515834,0.70475364,0.10736084,0.048431396,0.03378296,165.04626,9.06966,-71.33778,0.0777796737,0.0368119745,-0.0598068692,0.06631164558,0.00406341571,0.01802673371,164.924358,8.8135147,-71.4041446,0.088513375,0.035472438,-0.18506312,0.082023622,0.0107879638,0.0276260385,164.909145,8.7681395,-71.404378,0.0733988502367456,0.0618485793099372,0.426794412461398,0.0446879246052191,0.0414348367871699,0.0187447395092048,0.0806218557078541,0.144037204752453,0.0506080793444423,0.0053873912160762,0.00382524676265759,0.18215347050827,0.00199701060552175,0.00171684569957941,0.000351365259267942,164.924375735085,8.8145739211736,71.4041607409375,-0.438714009771767,0.0649749686223486,0.880444404679236,-1.05478000324264,-0.486876402424895,-1.53631979552762,0.566087193097438,0.945072491749278,0.0138357355004829,0.104395065665706,0.0692664677385853,0.409285945349885,0.0787054247463102,0.0395180019339762,0.0253217665574975,0.428031725867693,0.0916373735052639,179.934156279837,49
1482277337557,1482277337623,"KEYCODE_0",13,-0.36965275,-0.17514193,-0.12014842,-0.03881836,-0.13090515,-0.010360718,165.4914,9.220635,-71.83143,0.21513462,0.22167712,0.8638296,0.07086182,0.03656006,0.018722534,165.85022,9.796342,-71.493965,-0.0325805226538462,0.0786729468461538,0.229898614769231,0.0288848877692308,-0.0633732715153846,0.00573378346153846,165.646865384615,9.44726461538461,-71.5953388461539,-0.0419302,0.10174757,0.11973286,0.032180786,-0.06283569,0.0027160645,165.61792,9.387874,-71.56396,0.15025057999913,0.109963057189413,0.328722975944724,0.034937450647917,0.0466332350116633,0.00864200435446939,0.137106064454701,0.2106721167049,0.108958350531939,0.022575236790075,0.0120918739464422,0.108058794913955,0.00122062545777563,0.00217465860765302,7.4684239262668e-05,165.646917761292,9.44943264947022,71.5954153783115,0.186681688940062,-0.62951932431543,1.00539751855759,-0.283011339091429,-0.0345835871294474,1.04757606144151,0.633350203665425,0.845730554857526,-0.863968094248778,0.147987062172046,0.13172381091577,0.390640439526408,0.0442839466763516,0.0776115243946268,0.0100903701896777,0.43800831718801,0.0899245918681672,180.70444555795,66
1482277338083,1482277338131,"KEYCODE_9",10,-0.110123634,-0.11674163,-0.48505354,0.010604858,-0.049819946,-0.015014648,165.17786,8.744952,-71.387634,0.21046448,0.11571014,0.5003612,0.100753784,0.03253174,0.021957397,165.25708,9.034059,-71.24422,0.0232445721,0.0129166303,0.0686405186,0.0646102907,-0.02256927464,0.00703124994,165.21831,8.8667942,-71.2953304,0.008143902,0.030946836,0.140795948,0.06743622,-0.034606933,0.011802673,165.21695,8.8519685,-71.282735,0.107520925712547,0.0775916468306037,0.357575856236534,0.0293653203809139,0.0290609545429933,0.0120878006892151,0.0337307614302846,0.110770580119252,0.0463020902892703,0.0115607494660831,0.00602046365788513,0.12786049296329,0.00086232204107372,0.000844539078949924,0.00014611492550219,165.218313098893,8.86741690090364,71.2953439317069,0.421332033739302,-0.69711907543462,-0.605371655900641,-0.288700677875462,1.24266307311323,-1.1841913635101,0.120957838691211,0.401524483776429,-0.816079787411701,0.104618280675926,0.0747345745314944,0.346101089944308,0.0703603546132682,0.0356294446887778,0.0134514649265692,0.369210245988148,0.0800061168836874,180.163115348505,48
1482277338608,1482277338657,"KEYCODE_3",10,-0.04830742,-0.15412754,-0.57543874,-0.0058288574,-0.0066223145,-0.024429321,165.24011,8.884473,-71.51029,0.2124157,0.19933474,0.56165576,0.09577942,0.049362183,0.02809143,165.38635,9.203847,-71.377884,0.08409471501,0.0417190547,0.01993506,0.05052947986,0.03387603765,0.00907287585,165.314373,9.00990375,-71.4282479,0.09644556,0.060109048,-0.08442402,0.0512619,0.040718078,0.0169525145,165.312775,8.976126,-71.408855,0.0841024352974462,0.122394969191395,0.423080158682056,0.0350018945292665,0.0169231038176309,0.0185177141955444,0.0543442780489974,0.115578696421109,0.0504299596105551,0.00707321962296113,0.0149805284833624,0.178996820670433,0.0012251326206379,0.000286391442822312,0.000342905739027866,165.314381039139,9.01057091286805,71.42826392211,-0.440564352731949,-0.450753656498154,0.739995089760939,-0.062775471143791,-1.21290522537689,-1.27655690655858,0.0882153590426142,0.876746780659219,-1.15365351170864,0.115921606067541,0.123381340404811,0.401863839155246,0.0604636063553627,0.0374878410341846,0.0197720065070441,0.436068021223707,0.0738384598987218,180.310931042619,49
1482277339142,1482277339216,"KEYCODE_1",15,-0.11213875,-0.14090669,-0.10629392,-0.06515503,-0.06585693,-0.013214111,164.93042,8.46494,-71.588425,0.1124382,0.014496654,0.3373046,0.03579712,0.07685852,0.010971069,165.15936,8.775955,-71.50503,-0.03827769004,-0.0418432210666667,0.140596644653333,-0.0288838704733333,0.0266866048933333,-0.00447591143066667,165.018216666667,8.58261923333333,-71.5409716666667,-0.040240288,-0.031846702,0.13312626,-0.033615112,0.03175354,-0.0055389404,164.9848,8.5511465,-71.53657,0.0508676199139319,0.0445076649338998,0.151124457021713,0.0323998248447094,0.0418296163292368,0.00745304350637411,0.0764692307557818,0.108510047329872,0.0278006614558163,0.00258751475570824,0.00198093223786829,0.0228386015101077,0.00104974864996785,0.00174971680225115,5.55478575079053e-05,165.018233203346,8.58325942592498,71.5409767081947,0.115747382912001,-0.67380657341918,0.148296009803231,0.438080287409879,-0.36339815312567,0.427890553070377,1.3109848106113,0.870133248702502,-0.4749886984159,0.0622912138811941,0.0599977102722346,0.202690514242468,0.0425915881384688,0.0484277182630701,0.00847811595477149,0.220370971610555,0.0650474113740646,180.063324917344,74
1482277339609,1482277339693,"KEYCODE_4",17,-0.21780682,-0.123475015,-0.24694347,-0.09060669,-0.062820435,-0.00894165,165.03442,8.592466,-71.46865,0.14255333,0.01748079,0.45986962,0.044204712,0.023086548,0.016906738,165.1803,8.874035,-71.371994,-0.0116093575235294,-0.0507617473117647,0.108241683705882,-0.0373346665588235,-0.00119826376470588,0.00113363825088235,165.093419411765,8.73621770588235,-71.4287683529412,0.0057849884,-0.044938534,0.092867374,-0.042907715,0.005279541,-0.00044250488,165.07904,8.74644,-71.450226,0.0896922370776213,0.0412851480546959,0.218148495059888,0.0437824004712402,0.0208964466156076,0.00811386856495108,0.0579869546181041,0.111150975365021,0.0387355900980318,0.00804469739198823,0.00170446344989816,0.0475887658968941,0.00191689859102405,0.000436661481158937,6.58348630893013e-05,165.093428996318,8.73688317458175,71.4287782382041,-0.581801050691021,-0.423145871056336,0.211429050220974,0.381869087660278,-0.929986549943033,0.582758933645059,0.743930002501883,-0.275902953188029,1.66185518314186,0.0877852896586381,0.0646603115068684,0.237709252697435,0.0565510139381613,0.0203079134262683,0.00795282086859197,0.261520365904052,0.0606108561639813,180.095096507293,84
