"id","Timestamp","alpha","beta","gamma","SqSumA","SqSumG","SqSumO","MagnA","MagnG","MagnO","XdeltaA","YdeltaA","ZdeltaA","XdeltaG","YdeltaG","ZdeltaG","belongsToKey","xA","yA","zA","xG","yG","zG"
1,19813109215740,244.0018,-7.8624554,64.27586,0.00854149182599723,0.000298290977539492,63730.0827868966,0.0924201916574362,0.0172711023834465,252.448178418654,0.035974503,0.069116,-0.049702168,7.6293945e-05,-0.014389038,-0.009552002,FALSE,0.035974503,0.069116,-0.049702168,7.6293945e-05,-0.014389038,-0.009552002
2,19813290490154,244.03549,-7.889236,64.28352,0.00811858181200579,0.000361379463590026,63747.9313677942,0.0901031731517031,0.0190099832611716,252.483526923628,-0.000775338,-0.00176627,0.001291276,0.008255005055,0.00440979,-0.004318237,FALSE,0.035199165,0.06734973,-0.048410892,0.008331299,-0.009979248,-0.013870239
3,19813295525555,244.07101,-7.9202127,64.29,0.00768285307254142,0.000521478705229044,63766.5917916333,0.087651885732946,0.0228359082418248,252.520477964923,-0.000686645,-0.00208825,0.001159667,0.006484985,0.00390625,-0.002410889,FALSE,0.03451252,0.06526148,-0.047251225,0.014816284,-0.006072998,-0.016281128
4,19813300560955,244.12799,-7.9557137,64.34452,0.293086613376393,0.00252165314961696,63801.9861359469,0.54137474394027,0.0502160646568103,252.59055036946,0.08355522,-0.06555330434,-0.481091975,0.02835083,-0.012557983,-0.001358032,FALSE,0.11806774,-0.00029182434,-0.5283432,0.043167114,-0.018630981,-0.01763916
5,19813305596355,244.18018,-8.001552,64.40054,0.282536174622252,0.00487124966113925,63835.4146915327,0.531541319769453,0.0697943383172249,252.656713133716,-0.00227260500000001,-0.00197553636,0.00957300000000005,0.019775391,-0.002532959,-0.003845215,FALSE,0.115795135,-0.0022673607,-0.5187702,0.062942505,-0.02116394,-0.021484375
6,19813310631756,244.2377,-8.045446,64.45036,0.273252718740848,0.00263196289725375,63870.6322067585,0.522735802046166,0.0513026597483381,252.726397922256,-0.001854895,-0.0019549727,0.00862069999999993,-0.018066405,0.032562255,-0.000610352000000002,FALSE,0.11394024,-0.0042223334,-0.5101495,0.0448761,0.011398315,-0.022094727
7,19813315667156,244.28891,-8.077347,64.49171,0.265651900593866,0.00175859521031082,63901.4957422706,0.51541429995089,0.041935607904391,252.787451710465,-0.00127505999999999,-0.0012761356,0.00722980000000006,-0.023788454,0.02180481,0.007553101,FALSE,0.11266518,-0.005498469,-0.5029197,0.021087646,0.033203125,-0.014541626
8,19813320702557,244.25867,-8.059837,64.476746,0.0367770704975169,0.000598787088439107,63884.509617384,0.191773487472896,0.0244701264491851,252.753851834911,-0.01056481,-0.082531391,0.63931372,-0.018051147,-0.01020813,0.006744385,FALSE,0.10210037,-0.08802986,0.13639402,0.003036499,0.022994995,-0.007797241
9,19813325737957,244.22311,-8.039367,64.46649,0.0355821788267786,6.82461533438921e-05,63865.4872127529,0.188632390714794,0.00826112300743017,252.716218737051,-0.00134468,0.00109386,-0.00270557000000002,-0.0035705566,-0.0176086425,0.0015563963,FALSE,0.10075569,-0.086936,0.13368845,-0.0005340576,0.0053863525,-0.0062408447
10,19813330773357,244.19293,-8.017683,64.46141,0.0345095508677009,0.000197791953956843,63849.7436818615,0.185767464502536,0.0140638527422909,252.685068181445,-0.00168132999999999,0.00129152,-0.00193547999999999,-0.0071716309,-0.0167236325,0.0030975342,FALSE,0.09907436,-0.08564448,0.13175297,-0.0077056885,-0.01133728,-0.0031433105
