"Timestamp","Key","Orientation","xA","yA","zA","XslopeA","YslopeA","ZslopeA","SqSumA","MagnA","XnormMagnA","YnormMagnA","ZnormMagnA","XnormMeanA","YnormMeanA","ZnormMeanA","XdeltaA","YdeltaA","ZdeltaA","MdeltaA","XlpA","YlpA","ZlpA","id","MagnLpA"
16254770476804,"KEYCODE_1",272,7.412567,0.3621521,6.223465,7.412567,0.3621521,6.223465,93.8088202792484,9.6854953553883,0.765326576288758,0.0373911799770287,0.642555158166249,-0.422101824333334,-0.231980691113333,1.246328925,7.412567,0.3621521,6.223465,9.6854953553883,7.412567,0.3621521,6.223465,1,9.6854953553883
16254906432615,"KEYCODE_2",274,7.296356,0.72792053,5.7125854,-1.16990483689152,0.371699140355006,-0.266121041043721,86.4003111290246,9.29517676695955,0.784961510999498,0.0783116392780664,0.614575230059727,-0.538312824333333,0.133787738886667,0.735449325,-0.116211,0.36576843,-0.5108796,-0.390318588428752,7.3079771,0.691343687,5.76367336,2,9.33297465915626
16255072600828,"KEYCODE_1",268,6.6561584,-0.2936859,5.2033997,-0.259557694374362,-0.162653844103154,-0.326341083420057,71.4660644917095,8.45376037581557,0.787360666034711,-0.0347402678741845,0.615513034280677,-1.17851042433333,-0.887818691113333,0.226263625000001,-0.6401976,-1.02160643,-0.5091857,-0.841416391143978,6.73179926,-0.2281021,5.30540623,3,8.5741755936232
16255203521238,"KEYCODE_3",273,7.335327,0.39059448,5.7656403,0.192765699120954,0.191325681440698,0.23285477782999,87.2021943137196,9.33821151579464,0.785517332477749,0.0418275468851128,0.617424470440405,-0.499341824333333,-0.203538311113333,0.788504225000001,0.679168600000001,0.68428038,0.5622406,0.884451139979063,7.343051,0.387750242,5.81142277,4,9.37248008002399
16255389831053,"KEYCODE_4",277,7.634903,1.2503052,5.635254,0.621911685181723,0.216712215709024,-1.42890637283211,91.6110945570721,9.57136847880553,0.797681440946134,0.130629721629527,0.588761577038695,-0.199765824333333,0.656172408886667,0.658117925,0.299576,0.85971072,-0.130386300000001,0.233156963010892,7.6126694,1.16148989,5.6940751,5,9.57727964521808
16255495574461,"KEYCODE_6",277,7.058258,0.625,5.7118835,-0.18337696156214,-0.169106874531029,1.37993080993612,82.8352441121363,9.10138693343692,0.775514550872371,0.0686708525382937,0.627583855271061,-0.776410824333333,0.0308672088866667,0.734747425,-0.576645,-0.6253052,0.0766295000000001,-0.469981545368611,7.0936889,0.59871521,5.76304165,6,9.15923201869585
16255661742674,"KEYCODE_4",274,7.4149017,0.70680237,6.036804,0.465922187886679,2.03133739279192,0.511411908451452,91.9233393453165,9.58766600092622,0.773379224858655,0.0737199616602956,0.629642709645582,-0.419767124333334,0.112669578886667,1.059667925,0.356643699999999,0.08180237,0.3249205,0.486279067489299,7.41466823,0.672337343,6.0554701,7,9.59677344714137
16255747344480,"KEYCODE_6",274,7.2810974,0.4447174,5.3752136,-0.639753774729215,-0.326618523755864,-0.129387920380949,82.1050741597745,9.06118503065546,0.803548032113556,0.0490793862497509,0.593213093189774,-0.553571424333334,-0.149415391113333,0.398077525000001,-0.1338043,-0.26208497,-0.6615904,-0.526480970270761,7.29424436,0.43646087,5.46003874,8,9.12187052729503
16255948760496,"KEYCODE_7",276,6.9769745,0.6650238,5.3549957,-0.662284938095749,0.91425403892034,-9.96226195598927,77.7964087752352,8.82022725190429,0.79101981170538,0.0753975811514857,0.607126726677462,-0.857694324333334,0.0708910088866668,0.377859625,-0.3041229,0.2203064,-0.0202179000000005,-0.240957778751161,7.02053375,0.63473663,5.44184263,9,8.9053038091936
16256039397703,"KEYCODE_5",277,6.7785187,0.730484,4.9765015,-0.456712310751312,1.38461549155059,-0.239467888807808,71.2474898200079,8.44082281652731,0.803063735294564,0.0865417999972345,0.589575401376263,-1.05615012433333,0.136351208886667,-0.000634574999999415,-0.1984558,0.0654602,-0.3784942,-0.379404435376989,6.84192353,0.69365081,5.10119785,10,8.56243473209729
16256195495115,"KEYCODE_7",280,7.1307373,1.129303,4.44046,0.443183329897967,0.391399135948889,-0.291203968349465,71.8404247190203,8.47587309479208,0.84129826157749,0.13323736532746,0.523894111006499,-0.703931524333334,0.535170208886667,-0.536676075,0.3522186,0.398819,-0.536041500000001,0.0350502782647766,7.15892027,1.05258791,4.6187605,11,8.58434792496526
16256311309324,"KEYCODE_8",274,7.7320557,0.48109436,6.4888,0.192600474224637,-0.178668104454763,0.0565405201284943,102.120662571126,10.1054768601549,0.765135164525177,0.0476072892608281,0.642107254293444,-0.102613124333334,-0.113038431113333,1.511663925,0.6013184,-0.64820864,2.04834,1.62960376536283,7.70010683,0.469200134,6.4622665,12,10.0634329269977
16256502654539,"KEYCODE_0",274,7.553528,0.4933319,6.5254517,-1.07179566532252,15.6359215169062,5.22063683267089,99.8806814993745,9.99403229429315,0.755803841489812,0.0493626481757223,0.652934822286516,-0.281140824333334,-0.100800891113333,1.548315625,-0.1785277,0.01223754,0.0366516999999993,-0.111444565861754,7.5394319,0.48021392,6.49525303,13,9.96302919334394
16256719176756,"KEYCODE_0",271,7.2540436,0.15312195,6.5734406,-0.722983290615471,-0.63643705012155,4.51192290300465,95.8547162040011,9.79054218130953,0.740923583767221,0.0156397824721408,0.671407208943844,-0.580625224333334,-0.441010841113333,1.596304525,-0.2994844,-0.34020995,0.0479889,-0.203490112983626,7.26989594,0.174024965,6.53844304,14,9.7792079972867
