Timestamp,x,y,z,alpha,beta,gamma,keyPressed,key_x,key_y
1481653349799,-0.019230843,-0.007216394,-0.21382236,0.026611328,-0.014877319,-0.007751465,null,0,0
1481653349803,0.029812813,0.0815528,-0.28814363,0.026901245,-0.008407593,-0.007751465,null,0,0
1481653349808,0.019704819,0.122005045,-0.29077053,0.023406982,-0.0022277832,-0.007751465,null,0,0
1481653349813,0.009905815,0.12676924,-0.33062744,0.018295288,0.005844116,-0.007751465,null,0,0
1481653349818,0.042585373,0.14799035,-0.4281206,0.011352539,0.011932373,-0.008560181,null,0,0
1481653349823,0.06319904,0.2252869,-0.34350204,0.003768921,0.014877319,-0.007980347,null,0,0
1481653349827,0.022672653,0.23598987,-0.46629524,-0.0029296875,0.014526367,-0.009414673,null,0,0
1481653349833,0.017947197,0.18350321,-0.47242355,-0.013580322,0.010925293,-0.009033203,null,0,0
1481653349837,0.015580177,0.17662925,-0.31694746,-0.026245117,0.0074768066,-0.0096588135,null,0,0
1481653349842,-0.073571205,0.1608023,-0.39143085,-0.03488159,0.0059661865,-0.009033203,null,0,0
1481653349848,-0.13097477,0.26271987,-0.34302855,-0.04498291,0.0066070557,-0.006225586,null,0,0
1481653349853,-0.10077953,0.21789655,-0.19454145,-0.054000854,0.017211914,-0.0047454834,null,0,0
1481653349858,-0.08495712,0.15278131,-0.14410496,-0.055603027,0.031845093,-0.0019226074,null,0,0
1481653349862,0.08814716,0.06516796,-0.22989607,-0.056488037,0.042495728,0.0021820068,null,0,0
1481653349868,0.123000145,-0.06124586,-0.058185577,-0.054901123,0.05747986,0.0029296875,null,0,0
1481653349873,-0.006623268,-0.019362539,-0.13478374,-0.047409058,0.07449341,0.0020446777,null,0,0
1481653349878,0.0912838,-0.029806018,-0.23312998,-0.037002563,0.08808899,0.0018615723,null,0,0
1481653349883,0.12716484,0.0043069124,-0.28964567,-0.02897644,0.08560181,-8.392334E-4,null,0,0
1481653349888,0.19085121,0.047224045,-0.33592653,-0.02418518,0.068374634,-0.0031585693,null,0,0
1481653349893,0.0796175,0.07312417,-0.31643295,-0.020812988,0.04902649,-0.0071411133,null,0,0
1481653349898,0.039883614,0.11050224,-0.3685751,-0.023132324,0.03616333,-0.011444092,null,0,0
1481653349903,0.09195137,0.14055502,-0.02600813,-0.02822876,0.04296875,-0.01574707,null,0,0
1481653349908,0.084584236,0.11647606,-0.021551609,-0.03453064,0.058258057,-0.016296387,null,0,0
1481653349913,0.08465576,0.12584943,-0.080049515,-0.040008545,0.06585693,-0.018173218,null,0,0
1481653349918,0.016817093,0.1259099,-0.13026571,-0.048217773,0.07229614,-0.019363403,null,0,0
1481653349923,-0.024197578,0.090933025,-0.20077229,-0.055892944,0.08547974,-0.020446777,null,0,0
1481653349928,0.060129166,0.056602776,-0.13362122,-0.061462402,0.102249146,-0.0234375,null,0,0
1481653349933,0.06855488,0.12408787,-0.16768646,-0.066833496,0.11172485,-0.0256958,null,0,0
1481653349938,0.13361073,0.12514979,-0.23376226,-0.07609558,0.11256409,-0.028808594,null,0,0
1481653349943,0.049793243,0.13120222,0.044596195,-0.082839966,0.1174469,-0.035949707,null,0,0
1481653349948,0.0116968155,0.07172769,-0.12717295,-0.08932495,0.12086487,-0.041534424,null,0,0
1481653349953,-0.047085762,0.12629485,-0.13445616,-0.08580017,0.11213684,-0.03894043,null,0,0
1481653349958,-0.16882515,0.12622184,-0.3700776,-0.08151245,0.08641052,-0.035705566,null,0,0
1481653349963,-0.1366272,0.17536044,-0.14491177,-0.07821655,0.059555054,-0.029464722,null,0,0
1481653349968,-0.20661259,0.12245536,0.020088196,-0.07400513,0.052017212,-0.02406311,null,0,0
1481653349973,-0.30681515,-0.007880688,-0.26712656,-0.07376099,0.0526886,-0.015640259,null,0,0
1481653349978,-0.16819191,-0.104218364,-0.12285185,-0.07376099,0.071258545,-0.010070801,null,0,0
1481653349983,-0.24985027,-0.05384803,-0.38476706,-0.074798584,0.092681885,-0.009887695,null,0,0
1481653349988,-0.009897232,-0.0818336,-0.3580656,-0.07795715,0.096450806,-0.0046691895,null,0,0
1481653349993,0.16658306,-0.09312028,-0.32171488,-0.0801239,0.09341431,-0.0014190674,null,0,0
1481653350053,-0.5460062,-0.68450433,0.5096779,-0.07165527,-0.25146484,-0.013381958,KEYCODE_2,1011,578
1481653350163,-0.08655071,-0.19086719,-0.35281372,0.0059051514,0.020004272,0.045928955,KEYCODE_7,330,851
1481653350678,-0.09125137,-0.12577987,0.04019785,-0.05583191,0.04118347,-0.03503418,KEYCODE_0,1021,1003
1481653351194,-0.3125248,-0.06410569,0.683702,0.06562805,-0.07737732,-0.015167236,KEYCODE_9,1365,863
1481653351609,-0.038985252,-0.21428382,0.16016006,-0.07044983,-0.100357056,-0.016189575,KEYCODE_5,1066,708
1481653352078,-0.13552761,-0.14456701,0.33589125,-0.035095215,-0.009811401,-0.01184082,KEYCODE_8,1086,850
1481653352576,-0.14367104,-0.13067508,0.18921041,-0.017364502,-0.01600647,0.0010528564,KEYCODE_1,268,566
1481653353134,0.036655426,0.20563143,0.0033946037,0.030456543,0.046279907,0.0046539307,KEYCODE_4,327,711
