Timestamp,x,y,z,alpha,beta,gamma
12/06/2016 23:06:13:8,0.16252911,-0.105065346,-0.17644882,0.06455994,6.866455E-4,-0.034988403
12/06/2016 23:06:13:8,-0.010248601,-0.012677193,0.123031616,-0.10420227,0.014282227,0.008590698
12/06/2016 23:06:13:9,0.06909698,-0.076566696,-0.1874814,-0.0055999756,0.021255493,0.0029907227
12/06/2016 23:06:14:0,0.22146785,-0.08552551,-0.111913204,0.01171875,-0.016662598,0.005218506
12/06/2016 23:06:14:0,-0.048354983,-0.045615196,-0.09836388,0.041397095,0.014038086,-0.009887695
12/06/2016 23:06:14:1,-0.057799876,-0.06592846,0.07383728,0.051620483,-0.048095703,-0.01499939
12/06/2016 23:06:14:1,-0.054914594,-0.14150429,0.08178902,0.26313782,-0.28485107,-0.10774231
12/06/2016 23:06:14:2,-0.0125207305,-0.028614044,-0.18857956,0.21585083,-0.2783203,-0.10397339
12/06/2016 23:06:14:3,0.012639582,0.003522873,0.09390211,0.42019653,-0.25276184,-0.112213135
12/06/2016 23:06:14:3,0.3201189,0.08992767,-0.62027645,0.12986755,-0.15002441,-0.055770874
12/06/2016 23:06:14:4,-0.06712651,0.07105541,-0.44655323,-0.013885498,0.019897461,0.046554565
12/06/2016 23:06:14:4,0.103315294,-0.022395134,0.032212257,-0.017654419,0.01626587,0.008453369
12/06/2016 23:06:14:5,0.17159283,-0.06733799,0.045008183,-0.014160156,-0.042617798,-0.03364563
12/06/2016 23:06:14:6,0.022387922,-0.06273842,-0.17213392,-0.023956299,-0.0287323,0.030426025
12/06/2016 23:06:14:6,0.28529835,-0.022096634,-0.09964037,-0.10090637,0.0053253174,0.031600952
12/06/2016 23:06:14:8,-0.009398282,-0.04951191,-0.025000095,-0.04496765,0.050338745,0.023010254
12/06/2016 23:06:14:9,-0.014454305,-0.046941757,0.08407879,-0.09487915,0.08985901,0.021408081
12/06/2016 23:06:14:9,-0.21973848,-0.020389557,-0.16792917,-0.0337677,0.06808472,-8.544922E-4
12/06/2016 23:06:15:0,0.083107054,0.04362583,0.19081497,-0.06881714,0.093688965,0.018951416
12/06/2016 23:06:15:1,0.061457276,-0.07770634,0.018083096,-0.0020751953,0.020431519,0.013748169
12/06/2016 23:06:15:1,0.016824722,0.0051956177,-0.06346607,0.024368286,0.014587402,-0.024627686
12/06/2016 23:06:15:2,-0.012775779,-0.0064792633,0.126966,0.010986328,-0.013671875,-0.019699097
12/06/2016 23:06:15:2,-0.053489983,-0.029112816,-0.3924303,0.004501343,-0.042053223,-0.008163452
12/06/2016 23:06:15:3,0.0326159,-0.019037247,0.23549986,-0.009017944,-0.024032593,0.015640259
12/06/2016 23:06:15:4,0.018748522,0.055246353,-0.13627338,0.042938232,-0.068374634,-0.035202026
12/06/2016 23:06:15:4,-0.09902674,-0.0071487427,-0.14040041,-0.07072449,0.016204834,0.042129517
12/06/2016 23:06:15:5,0.07532102,-0.033563614,0.036068916,-0.020584106,0.020828247,0.0053863525
12/06/2016 23:06:15:5,-0.11719543,0.08577919,0.12064314,0.003616333,0.008514404,0.030090332
12/06/2016 23:06:15:6,0.10868716,-0.06814194,-0.06331158,-0.0048217773,0.0073547363,0.013031006
12/06/2016 23:06:15:7,0.11585939,-0.0015640259,-0.0921278,-0.019607544,-0.0040740967,-0.015319824
12/06/2016 23:06:15:7,-0.03655833,0.058442116,0.14340925,0.0132751465,-0.003921509,-0.01222229
12/06/2016 23:06:15:8,0.18687075,-0.02455616,-0.06471062,-0.02178955,0.033309937,0.0315094
12/06/2016 23:06:15:9,0.035401344,-0.027298927,0.012691498,0.018692017,-0.008483887,-0.003921509
12/06/2016 23:06:16:0,0.016338408,-0.009241104,-0.1842022,0.0076141357,0.0036315918,-5.950928E-4
12/06/2016 23:06:16:1,0.009355009,0.041371346,0.15474653,-0.0072784424,0.0061798096,0.0154418945
12/06/2016 23:06:16:1,-0.020965934,-0.045105934,-0.06653595,0.0016021729,-0.022338867,0.010818481
12/06/2016 23:06:16:2,-0.007967591,0.01709938,-0.10820389,0.0082092285,0.0032348633,-0.0068206787
12/06/2016 23:06:16:3,0.12681949,-0.011022568,0.04778242,-0.029800415,0.007827759,0.0053253174
12/06/2016 23:06:16:3,-0.058110535,0.004907608,0.036483765,0.0036621094,-0.023345947,-0.028549194
12/06/2016 23:06:16:4,0.034518838,-0.024638176,-0.062856674,0.0048980713,-0.01965332,-0.0016784668
12/06/2016 23:06:16:4,-0.07456815,0.06614208,0.053963184,0.017425537,-0.008895874,-0.0066833496
12/06/2016 23:06:16:5,-0.07609588,-0.009119034,0.028373718,0.0146484375,3.8146973E-4,-5.79834E-4
12/06/2016 23:06:16:6,0.054706275,-0.0040893555,-0.07373476,0.010940552,-0.0068969727,0.013900757
12/06/2016 23:06:16:6,0.14237577,-0.026498795,0.046213627,0.03541565,-0.0067443848,-0.03567505
12/06/2016 23:06:16:7,-0.10470402,0.05373001,0.18576384,-0.023406982,-0.035125732,-0.02168274
12/06/2016 23:06:16:8,-0.010954857,0.0347023,0.025027275,0.009231567,-0.051742554,-0.013534546
12/06/2016 23:06:16:9,-0.04834944,-0.050569534,0.057129383,0.0894928,-0.07359314,0.012557983
12/06/2016 23:06:16:9,0.14569205,-0.061766624,-0.21299219,0.09338379,-0.09655762,0.020736694
12/06/2016 23:06:17:0,0.026744366,0.058898926,-0.061774254,0.028778076,-0.043518066,-0.008407593
12/06/2016 23:06:17:0,0.036608875,-0.121191025,0.29470253,0.0034637451,-0.074539185,-0.0024414063
12/06/2016 23:06:17:1,-0.090557694,0.041054726,-2.448532,-0.116760254,0.120391846,-0.15815735
12/06/2016 23:06:17:2,-0.18811455,-0.04257679,0.13726616,-0.018188477,-0.018371582,-0.02810669
12/06/2016 23:06:17:9,-0.493046,0.045427322,0.026907444,-0.0027008057,0.047668457,0.0040740967
12/06/2016 23:06:18:0,-0.037885725,0.021662712,0.18876696,-0.030838013,0.008636475,0.031555176
12/06/2016 23:06:18:1,0.1373825,-0.032873154,0.0027985573,0.0060424805,-0.025680542,-0.020401001
12/06/2016 23:06:18:1,0.16831905,-0.030085564,-0.15450001,0.0103302,-0.011474609,0.003036499
12/06/2016 23:06:18:2,-0.012148917,-0.074920654,-0.13941336,0.012069702,-0.014175415,0.02973938
12/06/2016 23:06:18:3,0.03364247,-0.019594193,-0.2400508,0.011657715,0.011062622,0.049728394
12/06/2016 23:06:18:3,-0.20455253,0.038186073,0.406981,-0.0031585693,0.002609253,-0.026977539
12/06/2016 23:06:18:4,-0.026856422,-0.04035759,-0.16390657,9.460449E-4,-7.7819824E-4,0.0036010742
12/06/2016 23:06:18:5,-0.0053221583,0.054997444,-0.04860258,-0.020217896,-0.03694153,0.027938843
12/06/2016 23:06:18:5,-0.13117975,-0.12714577,0.2571001,0.019088745,-0.026748657,-2.4414063E-4
