Timestamp,x,y,z,alpha,beta,gamma
12/06/2016 23:04:54:4,-0.03295803,-0.017873853,0.06325865,0.04812622,0.031021118,-0.017028809
12/06/2016 23:04:54:4,-0.0068445206,0.06739697,-0.05935192,-0.0036315918,0.04246521,-0.0078125
12/06/2016 23:04:54:4,0.070669174,0.16951764,0.008204937,0.02178955,0.0052337646,-0.014984131
12/06/2016 23:04:54:4,0.020160675,-0.0124902725,0.050197124,0.017166138,-0.0121154785,-0.016021729
12/06/2016 23:04:54:4,-0.10326576,-0.0061695874,-0.03380108,0.0047454834,-0.018371582,-0.0014038086
12/06/2016 23:04:54:4,0.026953697,-0.040219635,-0.03874588,-0.015380859,-0.007232666,-9.1552734E-4
12/06/2016 23:04:54:4,-0.03423786,0.0693613,-0.13161278,0.021942139,0.009963989,0.009246826
12/06/2016 23:04:54:4,0.061649323,0.038833648,0.050119877,-0.015426636,-0.023773193,-0.005844116
12/06/2016 23:04:54:4,0.020845413,-0.14605185,0.21396303,-0.04798889,-0.040390015,0.016433716
12/06/2016 23:04:54:4,-0.061836243,0.105858415,0.11550808,-0.07295227,0.0061798096,0.019134521
12/06/2016 23:04:54:4,0.113630295,-0.077301085,0.15028524,-0.0743866,-0.031463623,0.019485474
12/06/2016 23:04:54:4,0.12454319,0.11190876,0.9050822,0.12187195,-0.14198303,-0.018798828
12/06/2016 23:04:54:4,0.123646736,-0.08591536,-0.028055191,0.020858765,-0.0029907227,-0.015686035
12/06/2016 23:04:54:4,0.09541893,0.11602968,-0.08445501,0.06201172,0.01689148,-0.031829834
12/06/2016 23:04:54:4,-0.01635933,0.05334741,0.014779091,0.014022827,0.034683228,0.018554688
12/06/2016 23:04:54:4,0.037299156,0.2345036,-0.13515568,-0.030441284,-0.0043182373,-0.0029144287
12/06/2016 23:04:54:4,-0.07074833,-0.116422355,-0.15614223,0.006164551,0.03845215,8.69751E-4
12/06/2016 23:04:54:4,-0.040229797,0.060088962,-0.09435606,0.026550293,-0.032821655,5.645752E-4
12/06/2016 23:04:54:4,-0.06153488,0.049135774,-0.19870186,0.023773193,0.04663086,-0.021438599
12/06/2016 23:04:54:4,0.069314,-0.0047177374,0.25839233,0.033203125,0.04812622,-0.013076782
12/06/2016 23:04:54:4,-0.05875683,-0.17933711,-0.062951565,-0.019546509,-0.012069702,0.01927185
12/06/2016 23:04:54:4,0.012040138,0.13220713,0.007399082,0.009780884,0.044692993,0.011749268
12/06/2016 23:04:54:4,-0.0060987473,0.13059434,-0.043836117,-0.0049591064,-0.0042877197,0.012359619
12/06/2016 23:04:54:4,0.03718567,0.13102603,-0.062015533,-0.001159668,0.0262146,-0.003189087
12/06/2016 23:04:54:4,-0.06691074,-0.19378665,-0.11427069,0.029373169,0.031951904,0.0030975342
12/06/2016 23:04:54:4,-0.05492401,-0.018404037,0.057659626,0.04425049,-0.03515625,0.02168274
12/06/2016 23:04:54:4,0.0166893,0.08277154,0.073215485,-0.0063934326,0.004623413,0.022232056
12/06/2016 23:04:54:4,0.0808754,-0.06703168,0.10603571,0.05126953,-0.01499939,0.013900757
12/06/2016 23:04:54:4,-0.12412357,-0.045817316,-0.070091724,0.0062561035,0.02720642,-0.014144897
12/06/2016 23:04:54:4,-0.012363434,-0.06845516,-0.085829735,0.034103394,0.002029419,5.645752E-4
12/06/2016 23:04:54:4,-0.0026988983,-0.019604206,-0.071024895,-2.1362305E-4,0.03414917,8.544922E-4
12/06/2016 23:04:54:4,0.0400486,-0.0048716664,-0.0817132,-0.008926392,0.0035247803,0.0021514893
12/06/2016 23:04:54:4,0.030854225,0.07275912,-0.026774883,-0.007843018,-0.010650635,-0.004547119
12/06/2016 23:04:54:4,-0.1113472,-0.06357241,-0.104082584,0.017791748,-0.029083252,-0.0026855469
12/06/2016 23:04:54:4,0.02007103,-0.014341652,0.1431632,-0.03326416,0.0047454834,0.008178711
12/06/2016 23:04:54:4,-0.0055418015,0.0064180195,-0.061788082,0.0030212402,-0.008422852,-0.011505127
12/06/2016 23:04:54:5,0.060774803,-0.005245745,-0.114340305,-0.027404785,0.008300781,0.008453369
12/06/2016 23:04:54:5,0.0730114,0.05946234,0.11578417,-0.0028076172,-0.063705444,-0.008377075
12/06/2016 23:04:54:6,-0.053725243,0.09364125,-0.40615082,0.06840515,-0.004562378,3.6621094E-4
12/06/2016 23:04:54:7,0.16692638,-0.21418321,0.34212208,0.06947327,-0.053771973,-0.025161743
12/06/2016 23:04:54:7,0.05040455,0.26711908,-0.07159519,0.058425903,7.6293945E-5,0.024902344
12/06/2016 23:04:54:8,-0.10040474,0.3032561,-0.49279308,0.013793945,0.040985107,-0.0037994385
12/06/2016 23:04:54:9,-0.079678535,-0.17767549,-0.36404276,0.05580139,-0.020935059,-0.020767212
12/06/2016 23:04:55:0,0.16059971,0.11473864,0.24292517,-0.07659912,0.024246216,0.020187378
12/06/2016 23:04:55:0,-0.0021839142,-0.12518567,-0.004571438,0.022125244,-0.013519287,-0.006011963
12/06/2016 23:04:55:1,-0.0561018,-0.0027278662,-0.19793177,-0.010513306,0.018218994,0.019302368
12/06/2016 23:04:55:1,-0.046632767,-0.08891237,0.02559042,0.014968872,0.013153076,-0.012481689
