Timestamp,x,y,z,alpha,beta,gamma
12/06/2016 23:01:49:7,-0.47834682,-0.22159696,-0.06203127,-0.0037078857,-0.0050201416,-0.0134887695
12/06/2016 23:01:49:8,0.007971764,-0.014095515,0.049521923,-1.5258789E-5,-0.007217407,0.0036468506
12/06/2016 23:01:49:8,-0.025526047,0.012120485,-0.1649437,-0.017333984,0.016784668,0.0037841797
12/06/2016 23:01:49:9,0.044801712,0.0596084,0.23695755,0.019485474,-0.027694702,-0.002380371
12/06/2016 23:01:49:9,-0.01889801,0.04090908,-0.09102583,0.0025024414,0.001876831,-0.0024261475
12/06/2016 23:01:50:0,-0.024245262,-0.031139135,0.028125286,0.023391724,-0.0023040771,-0.0063171387
12/06/2016 23:01:50:1,0.008050919,-0.033037543,0.004368782,-0.008834839,-0.00881958,0.0052490234
12/06/2016 23:01:50:1,-0.0104932785,0.05074668,-0.15662336,-0.015258789,0.0069885254,0.01222229
12/06/2016 23:01:50:2,0.010966301,0.05266127,0.11060238,0.014129639,-0.011169434,-0.002456665
12/06/2016 23:01:50:3,-0.026548386,0.016540408,-0.10455799,-0.0067596436,0.009750366,-0.007293701
12/06/2016 23:01:50:3,0.02696991,-0.020492584,0.17060995,0.035858154,-0.012329102,-0.008361816
12/06/2016 23:01:50:4,-0.03778839,-0.024310797,-0.095234394,-0.030441284,-0.017166138,0.0062561035
12/06/2016 23:01:50:5,0.008742332,-0.0072779655,0.016058445,4.5776367E-4,0.00440979,-0.006225586
12/06/2016 23:01:50:5,0.021111488,0.067576766,0.024496078,0.0034637451,-0.012832642,-0.010879517
12/06/2016 23:01:50:6,-0.0029802322,0.014123857,-0.050964355,-0.004272461,0.028930664,0.005355835
12/06/2016 23:01:50:6,0.0016098022,-0.085954934,-0.032482624,0.0068969727,0.009017944,0.011199951
12/06/2016 23:01:50:7,0.0129776,0.037105113,0.061297894,0.0087890625,-0.0104522705,-0.008117676
12/06/2016 23:01:50:8,0.0014257431,-0.03995648,0.02870655,-0.019607544,0.0010223389,0.013244629
12/06/2016 23:01:50:8,-0.022619247,-0.027916133,-0.08307886,-0.010955811,-0.0018920898,0.0031585693
