Timestamp,x,y,z,alpha,beta,gamma
12/06/2016 23:06:21:9,-0.4914645,-0.014682293,0.4524107,-0.09727478,0.32147217,0.2028656
12/06/2016 23:06:21:9,-0.2148917,-0.059390545,-0.0019431114,0.050064087,0.15820313,-0.046829224
12/06/2016 23:06:21:9,-0.05955687,-0.37502575,0.4115963,0.28536987,-0.028808594,-0.094329834
12/06/2016 23:06:22:0,-0.41170755,-0.11265373,0.28170443,0.30441284,-0.08103943,-0.13877869
12/06/2016 23:06:22:0,-0.17153594,-0.30168056,-0.95726776,0.094696045,0.020553589,-0.08677673
12/06/2016 23:06:22:1,0.14160466,-0.050889015,0.09704733,-0.15559387,-0.2654419,-0.05055237
12/06/2016 23:06:22:1,2.093905,0.8053274,0.19907188,0.0073242188,-0.06971741,-0.031021118
12/06/2016 23:06:22:2,-0.71633685,0.24634266,0.3719697,-0.08596802,-0.0839386,-0.0017852783
12/06/2016 23:06:22:3,0.643834,0.031342506,-0.5884757,-0.14283752,0.07374573,0.120391846
12/06/2016 23:06:22:3,-0.0042819083,-0.20500278,0.31977177,-0.11730957,0.03175354,0.041793823
12/06/2016 23:06:22:4,0.6004403,-0.43257618,0.29610443,-0.086624146,0.006515503,-0.052215576
12/06/2016 23:06:22:5,-0.5129349,0.14307594,-0.0752182,-0.49986267,0.34544373,0.10253906
12/06/2016 23:06:22:5,-0.40339443,0.60127497,-0.2924304,0.07759094,-0.02545166,0.103302
12/06/2016 23:06:22:6,0.8787183,-0.094861984,-2.0343184,-0.17436218,0.18795776,-0.07588196
12/06/2016 23:06:22:7,-1.3068552,-0.10235548,1.4864058,-0.19042969,0.00843811,0.039138794
12/06/2016 23:06:22:7,-0.04613787,0.02006197,0.44284678,0.032302856,0.12574768,0.04359436
12/06/2016 23:06:22:8,0.1729736,-0.15397024,-0.0266428,0.040359497,-0.0011444092,-0.05444336
12/06/2016 23:06:22:9,0.19802076,0.25493145,-0.7806964,0.0016326904,0.24198914,-0.07757568
12/06/2016 23:06:22:9,0.025801599,-0.072889805,-0.5562825,0.06059265,-0.023529053,-0.032943726
12/06/2016 23:06:23:0,-0.14377445,0.048772812,0.28246737,0.008529663,0.025680542,0.02029419
12/06/2016 23:06:23:1,0.34732324,0.06947088,0.22992086,0.06436157,-0.0044555664,-0.04095459
12/06/2016 23:06:23:2,-0.23628795,-0.47965002,-0.007862091,0.008377075,0.12031555,-0.086364746
12/06/2016 23:06:23:2,-0.34708524,0.3636341,-0.48433733,-0.013336182,0.0105896,0.008926392
12/06/2016 23:06:23:3,-0.056239843,0.034896374,0.6629162,-0.031204224,0.031921387,0.016357422
12/06/2016 23:06:23:4,0.5055946,-0.44436455,0.09470463,0.16445923,-0.06643677,0.05267334
12/06/2016 23:06:23:4,-0.10308051,-0.32807446,-0.6094613,0.11138916,-0.09486389,-0.04144287
12/06/2016 23:06:23:5,-0.013600528,0.20772219,-0.6546221,0.06390381,-0.035614014,0.052703857
12/06/2016 23:06:23:6,0.6312175,-0.2563076,0.54298925,-0.0064849854,-0.14427185,0.057113647
12/06/2016 23:06:23:6,0.20283961,0.022809029,0.7209687,-0.011169434,-0.38519287,0.05114746
12/06/2016 23:06:23:7,0.021618515,-0.1257968,2.0427527,0.18902588,-0.038528442,-0.03694153
12/06/2016 23:06:23:8,0.29588485,-0.06857586,-1.7298503,0.18861389,0.027938843,-0.012588501
12/06/2016 23:06:23:8,-0.9452226,-0.0908308,1.0670762,-0.06678772,-0.013214111,0.034942627
12/06/2016 23:06:23:9,0.6423742,-0.27754498,0.32209253,0.009277344,0.013214111,0.03289795
12/06/2016 23:06:24:0,-0.28044033,0.12599754,-0.1031065,0.08169556,0.10769653,-0.05722046
12/06/2016 23:06:24:0,-0.5738403,-0.052906036,0.7134366,0.055374146,-0.0056152344,-0.0065307617
12/06/2016 23:06:24:1,0.039954573,-0.06876469,0.44157887,-0.08538818,0.07470703,0.052368164
12/06/2016 23:06:24:2,0.27566057,-0.032637596,0.4862604,0.08366394,-2.4414063E-4,0.01776123
12/06/2016 23:06:24:2,-0.26781452,-0.02056408,-1.0479641,-0.011947632,-0.018463135,0.039993286
12/06/2016 23:06:24:3,-0.15928578,-0.17144203,-0.6014385,0.0864563,-0.06843567,-0.07382202
12/06/2016 23:06:24:4,-0.38959637,0.17315674,0.22648859,0.04586792,-0.014770508,0.037826538
12/06/2016 23:06:24:4,-0.27509326,-0.13160515,-0.34217262,0.06352234,0.07559204,-0.031219482
12/06/2016 23:06:24:5,-0.02204895,-0.051927567,-0.025894165,0.11941528,-0.15490723,-0.0074310303
12/06/2016 23:06:24:6,-0.3143184,0.030067444,0.15732956,-0.07495117,-0.045913696,-0.02180481
12/06/2016 23:06:24:6,0.2574592,-0.019377708,0.17386341,0.047958374,-0.05101013,-0.07518005
12/06/2016 23:06:24:7,0.22886139,-0.06225109,-0.3165927,0.020812988,-0.051589966,0.013336182
12/06/2016 23:06:24:8,-0.034327686,-0.054329872,0.5128484,-0.019515991,-0.0155181885,-0.015945435
12/06/2016 23:06:24:8,0.009770304,0.10280895,-0.18250275,0.031082153,-0.045166016,-0.031661987
12/06/2016 23:06:24:9,-0.54250073,-0.18602276,0.21801662,-0.21502686,-0.33122253,-0.004760742
12/06/2016 23:06:25:0,-0.11571798,-0.11041546,0.8730321,-0.008239746,0.045669556,0.058258057
