Timestamp,x,y,z,alpha,beta,gamma
12/07/2016 00:02:17:2170,0.6493199,-0.089086056,-0.35468483,0.14533997,-0.67066956,-0.095443726
12/07/2016 00:02:17:2750,0.355793,0.10354948,-0.13604641,0.506546,-1.157898,-0.07197571
12/07/2016 00:02:17:3350,0.3431902,-0.03489971,-0.34250736,0.56825256,-1.0000458,0.10317993
12/07/2016 00:02:17:3950,0.13969469,0.18422294,-0.61453676,0.38139343,-0.80470276,0.2259674
12/07/2016 00:02:17:4550,0.3619995,0.19921255,-0.40301228,0.236557,-0.5374756,0.051376343
12/07/2016 00:02:17:5150,0.46221542,0.1694789,-0.43125582,0.16381836,-0.3986969,0.039794922
12/07/2016 00:02:17:5750,0.3574524,0.17967057,-0.2935753,0.16682434,-0.46138,0.017166138
12/07/2016 00:02:17:6340,0.35320616,-0.050801277,-0.4467082,0.058670044,-0.36026,-0.024124146
12/07/2016 00:02:17:6950,0.23293304,0.25519657,-0.2995534,0.07759094,-0.17506409,-0.19108582
12/07/2016 00:02:17:7550,0.38017464,0.0051310062,-0.09392691,0.13131714,0.061019897,-0.15805054
12/07/2016 00:02:17:8150,-0.03405285,0.1618743,-0.36777782,0.12219238,0.058532715,-0.104766846
12/07/2016 00:02:17:9350,0.3437333,0.097382545,-0.60433054,-7.019043E-4,0.10975647,-0.20158386
12/07/2016 00:02:17:9950,0.09693241,-0.073274136,0.0052490234,0.038238525,0.09591675,-0.3358612
12/07/2016 00:02:18:0540,0.35320997,-0.05485916,-0.18058062,0.010665894,0.19178772,-0.33416748
12/07/2016 00:02:18:1140,0.16419172,0.13487673,-0.5473342,-0.14355469,0.20040894,-0.069381714
12/07/2016 00:02:18:1740,0.10680628,0.14005995,-0.32384872,-0.28982544,0.27270508,-0.059646606
12/07/2016 00:02:18:2340,0.09367514,-0.051384926,-0.1303773,-0.2722168,0.23622131,-0.029464722
12/07/2016 00:02:18:2940,0.007124901,0.15359831,-0.19726324,-0.3965454,0.33963013,-0.031906128
12/07/2016 00:02:18:4140,-0.01362133,0.15722561,-0.1841836,-0.58132935,0.52027893,-0.04222107
12/07/2016 00:02:18:4740,0.18090773,0.02842784,-0.060795784,-0.43066406,0.37397766,-0.06913757
12/07/2016 00:02:18:5480,0.029118538,-0.025863647,0.12242651,-0.21243286,0.16889954,-0.028182983
12/07/2016 00:02:18:5940,0.09118271,-0.011814594,0.15961695,-0.089782715,0.07489014,-0.012542725
12/07/2016 00:02:18:6580,0.049696922,-0.16073108,-0.14862871,-0.17732239,0.15084839,-0.0013427734
12/07/2016 00:02:18:7170,0.07110071,0.055681705,0.055713654,-0.08554077,0.0056915283,-0.05369568
12/07/2016 00:02:18:7740,0.033161163,-0.0025241375,0.04677534,-0.13421631,-0.009140015,-0.070388794
12/07/2016 00:02:18:8380,0.026935577,0.06875253,-0.12084961,-0.20472717,0.061813354,-0.05369568
12/07/2016 00:02:18:8990,-0.020294666,-0.12019253,-0.1241951,-0.103652954,0.0022583008,-0.039031982
