Timestamp,x,y,z,alpha,beta,gamma
12/06/2016 23:57:56:2350,0.07093263,-0.024884075,-0.0076675415,-0.010620117,-0.010070801,0.0032196045
12/06/2016 23:57:56:2980,-0.007411003,-0.0022728741,-0.057785988,0.01020813,0.002029419,-0.0015258789
12/06/2016 23:57:56:3630,0.04705572,-0.023265958,-0.015565872,-0.0023651123,-0.0056915283,-7.6293945E-4
12/06/2016 23:57:56:4280,-0.012984991,-0.03323847,0.03626156,0.0038757324,-0.0035095215,0.001449585
12/06/2016 23:57:56:5580,0.007769108,-0.016419232,-0.012252808,0.0050354004,0.005218506,0.003967285
12/06/2016 23:57:56:6230,0.0068638325,-0.009475201,0.013020515,0.006515503,0.009552002,-0.006713867
12/06/2016 23:57:56:6880,0.0131082535,-7.056892E-4,-0.09438324,0.001159668,-0.0084991455,-6.866455E-4
12/06/2016 23:57:56:7530,0.008072376,0.0175564,-0.0105781555,0.0065460205,-0.002456665,0.005508423
12/06/2016 23:57:56:8180,0.04455304,-1.9463897E-4,-0.060552597,0.011428833,0.004058838,-0.0035858154
12/06/2016 23:57:56:8830,-0.037747383,-0.06754923,-0.04617119,-9.765625E-4,-0.014694214,0.009017944
12/06/2016 23:57:56:9470,0.09539604,0.053970546,-0.008381844,0.0028686523,-0.014389038,-0.0012817383
12/06/2016 23:57:57:0120,0.0142560005,-0.0784089,0.23555565,-0.04069519,-0.051498413,-0.0012207031
12/06/2016 23:57:57:0870,0.025940418,-0.009500474,-0.32131195,-0.011962891,0.053588867,-0.0012664795
12/06/2016 23:57:57:1430,-0.008927584,0.047292292,0.28098583,-0.0012207031,0.019760132,0.003326416
12/06/2016 23:57:57:2070,-0.014950991,-0.05324909,-0.14555645,-0.025299072,0.009857178,-0.0016479492
12/06/2016 23:57:57:2720,0.02234912,-0.039253548,0.15446281,-0.020263672,-0.007522583,3.0517578E-4
12/06/2016 23:57:57:3390,-0.00989151,0.0072987825,-0.06864929,-0.013366699,-0.005645752,-6.5612793E-4
12/06/2016 23:57:57:4030,0.0057086945,0.03191805,0.06247711,-0.004196167,0.004348755,-0.006500244
12/06/2016 23:57:57:4670,-0.07301211,-0.05330944,-0.002491951,0.006881714,-0.001739502,-0.003112793
12/06/2016 23:57:57:5320,-0.027560472,0.06918639,0.021432877,0.02859497,0.004348755,0.0016326904
12/06/2016 23:57:57:5970,-0.050337553,-0.022048458,-2.8800964E-4,0.020950317,0.012161255,-1.2207031E-4
12/06/2016 23:57:57:6630,0.04838109,-0.02547054,0.09075451,8.544922E-4,0.011291504,-0.0016784668
12/06/2016 23:57:57:7290,-0.008279085,0.016144112,-0.07171917,0.0026550293,-0.01449585,-0.0021972656
12/06/2016 23:57:57:7920,0.049667835,-0.020576,-0.01765728,-0.013061523,-0.05168152,-0.010620117
12/06/2016 23:57:57:8570,-0.051023006,0.0011006892,-0.12544537,-0.014862061,-0.057037354,-0.006958008
12/06/2016 23:57:57:9220,0.036783457,-5.8580935E-4,-0.095965385,6.866455E-4,-0.03404236,0.0032806396
12/06/2016 23:57:57:9870,-0.022193432,-0.0027331412,0.011666298,-0.036193848,-0.057373047,-0.016159058
12/06/2016 23:57:58:0520,-0.013748884,0.030085787,0.0066814423,-0.030807495,-0.016647339,-0.023864746
12/06/2016 23:57:58:1170,-0.042881727,-0.14081274,-0.08043289,-0.0061950684,-0.024002075,0.0057678223
12/06/2016 23:57:58:1820,0.036057472,-0.025829986,-0.091599464,-0.024291992,-0.060256958,-0.011688232
12/06/2016 23:57:58:2470,0.03199029,-0.04750994,0.08643055,0.006225586,-0.045913696,-0.006790161
12/06/2016 23:57:58:3120,-0.058418512,-0.020738676,0.024409294,-0.021255493,-0.09907532,-0.01828003
12/06/2016 23:57:58:3770,-0.014988422,-0.021760613,-0.0034542084,0.006591797,-0.011505127,1.5258789E-5
12/06/2016 23:57:58:4420,-0.024143457,-0.024290785,0.029997826,0.01133728,0.014785767,-4.119873E-4
12/06/2016 23:57:58:5720,0.079013586,0.01894924,0.0071344376,0.011169434,0.03125,0.017211914
12/06/2016 23:57:58:6370,0.04225564,0.055518806,-0.03758049,0.0060424805,0.02217102,-0.0061798096
12/06/2016 23:57:58:7020,0.028761387,-7.1053207E-4,0.09828091,-0.010375977,-0.007171631,-0.0055236816
12/06/2016 23:57:58:7670,0.04573536,-0.022281855,-0.067471504,0.026397705,0.009460449,0.0042877197
12/06/2016 23:57:58:8320,-0.05559492,-0.025779575,0.11191082,-0.01083374,-0.011108398,-0.0049591064
12/06/2016 23:57:58:8970,0.04451084,0.01474674,-0.038348198,0.021972656,0.014266968,0.009307861
12/06/2016 23:57:58:9620,0.014240265,-0.003100574,0.02009964,-0.011871338,-0.021606445,-0.0076904297
12/06/2016 23:57:59:0270,-0.13361335,-0.26076847,-0.18543911,0.06312561,-0.055511475,-0.0015411377
12/06/2016 23:57:59:0920,-0.203269,-0.5429468,-0.11044884,0.22427368,-0.10153198,0.04559326
12/06/2016 23:57:59:1570,0.046642303,0.5331942,0.07238388,0.22457886,-0.17396545,0.09881592
12/06/2016 23:57:59:2220,-0.19620562,0.09512642,0.081113815,0.17770386,-0.30291748,0.08338928
12/06/2016 23:57:59:2870,-0.1798644,-0.044921964,0.1671114,0.19395447,-0.42596436,0.13635254
12/06/2016 23:57:59:3520,-0.007253647,-0.09306681,0.02804184,0.10861206,-0.27313232,0.086135864
12/06/2016 23:57:59:4170,0.45522308,0.5222695,-0.28883076,0.042129517,-0.115753174,-0.008178711
12/06/2016 23:57:59:4820,-0.4068904,-0.105623245,0.10807037,0.27607727,-0.13510132,-0.005340576
12/06/2016 23:57:59:5460,-0.04088068,-0.010320783,-0.032753944,0.24443054,-0.13635254,0.037628174
12/06/2016 23:57:59:6110,0.041786194,0.1279198,0.15689468,0.21456909,-0.16305542,0.0446167
12/06/2016 23:57:59:6760,0.05838251,-0.076032996,0.1846714,0.15531921,-0.13916016,0.047180176
12/06/2016 23:57:59:7410,0.102874756,0.042268395,-0.5482359,-0.0046081543,-0.04057312,0.0029907227
12/06/2016 23:57:59:8070,0.056919098,-0.004547477,0.3495865,0.018096924,0.070495605,-0.04032898
12/06/2016 23:57:59:8710,0.021507263,0.09746456,-0.32220554,-0.15292358,0.17652893,-0.053115845
12/06/2016 23:57:59:9360,0.096508026,0.01785934,0.22269344,-0.1322937,0.15653992,-0.060836792
12/06/2016 23:58:00:0020,-0.048291206,-0.052269816,-0.044029236,-0.19831848,0.22257996,-0.042617798
12/06/2016 23:58:00:0670,0.13712168,0.11321151,0.003504753,-0.33055115,0.32725525,-0.07373047
12/06/2016 23:58:00:1310,0.099121094,0.22297555,0.064276695,-0.33398438,0.4673462,-0.05104065
12/06/2016 23:58:00:1960,0.13132381,-0.34133124,0.27969837,-0.26911926,0.38775635,-0.025802612
12/06/2016 23:58:00:2610,-0.21606517,0.042441547,0.075998306,-0.309021,0.44789124,-0.03591919
12/06/2016 23:58:00:3260,-0.04036355,-0.058638036,0.097994804,-0.028045654,0.12556458,-0.05331421
12/06/2016 23:58:00:3910,-0.048161983,-0.1938388,0.009403229,0.010910034,0.2428894,-0.0541687
12/06/2016 23:58:00:4570,-0.051731825,-0.17229238,-0.18617725,0.11936951,0.19841003,-0.005706787
12/06/2016 23:58:00:5860,0.10272837,0.122172296,-0.043888092,0.0012817383,0.07598877,0.015808105
12/06/2016 23:58:00:6830,-0.030541658,-0.015426755,-0.04346943,0.0143585205,-0.050827026,-0.017227173
12/06/2016 23:58:00:7160,-0.059198618,-0.030940056,0.06661224,0.022399902,-0.023788452,-0.04586792
12/06/2016 23:58:00:7810,-0.1537273,0.39774692,0.30294228,0.013519287,-0.128479,-0.054489136
12/06/2016 23:58:00:8460,-0.17031193,-0.3357472,0.16788387,0.03236389,0.028625488,-0.07206726
12/06/2016 23:58:00:9110,-0.06380844,-0.08825493,-0.13932323,0.0035858154,-0.051620483,0.020004272
12/06/2016 23:58:00:9760,0.014182806,0.020965546,0.002913475,-0.0041503906,-0.036514282,0.015792847
12/06/2016 23:58:01:0410,-0.019674063,0.017981052,0.058070183,0.0032958984,-0.026504517,-0.0018310547
12/06/2016 23:58:01:1060,-0.02415657,-0.055246383,-0.044761658,-0.008895874,0.007247925,-1.373291E-4
12/06/2016 23:58:01:1710,-0.017021656,-0.029043913,0.026202202,-0.008407593,0.014221191,0.0012817383
12/06/2016 23:58:01:2360,0.045556307,-0.014667988,-0.026314735,-0.020263672,0.006652832,-0.0057525635
12/06/2016 23:58:01:3010,-0.0063130856,-0.058066577,-0.032859802,-8.69751E-4,-0.0022735596,-0.0041503906
12/06/2016 23:58:01:3660,0.049229145,-0.03951174,0.028006554,0.005508423,0.008773804,0.0041046143
12/06/2016 23:58:01:4310,-0.055537224,-0.085881084,-0.10139656,0.0064697266,0.008560181,0.0040283203
12/06/2016 23:58:01:4960,-0.019595385,-0.023973614,-0.04500866,-1.373291E-4,-7.9345703E-4,0.0012817383
12/06/2016 23:58:01:5610,0.07964587,-0.004196465,-0.046269417,-0.008483887,-0.009979248,0.0016937256
